month,year,usage,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,lecture,office,multipurpose,laboratory,domitory,parking
1,2556,20594,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
2,2556,19972,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
3,2556,17621,4028.20,0.0801,3,0.0270,31,0.8571,0,1,0,0,0,0,0
4,2556,16953,4028.20,0.0801,3,0.0270,32,1.0000,0,1,0,0,0,0,0
5,2556,17209,4028.20,0.0801,3,0.0270,32,1.0000,0,1,0,0,0,0,0
6,2556,15010,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
7,2556,25250,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
8,2556,24699,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
9,2556,25139,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
10,2556,16444,4028.20,0.0801,3,0.0270,29,0.5714,0,1,0,0,0,0,0
11,2556,19730,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
12,2556,19237,4028.20,0.0801,3,0.0270,25,0.0000,1,1,0,0,0,0,0
1,2557,14211,4028.20,0.0801,3,0.0270,25,0.0000,1,1,0,0,0,0,0
2,2557,18517,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
3,2557,20750,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
4,2557,16944,4028.20,0.0801,3,0.0270,31,0.8571,1,1,0,0,0,0,0
5,2557,18060,4028.20,0.0801,3,0.0270,31,0.8571,1,1,0,0,0,0,0
6,2557,17386,4028.20,0.0801,3,0.0270,30,0.7143,0,1,0,0,0,0,0
7,2557,14862,4028.20,0.0801,3,0.0270,30,0.7143,0,1,0,0,0,0,0
8,2557,11753,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
9,2557,27162,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
10,2557,27577,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
11,2557,27095,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
12,2557,21109,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
1,2558,13846,4028.20,0.0801,3,0.0270,26,0.1429,1,1,0,0,0,0,0
2,2558,22856,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
3,2558,25554,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
4,2558,26472,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
5,2558,25905,4028.20,0.0801,3,0.0270,31,0.8571,1,1,0,0,0,0,0
6,2558,14882,4028.20,0.0801,3,0.0270,30,0.7143,0,1,0,0,0,0,0
7,2558,20484,4028.20,0.0801,3,0.0270,30,0.7143,0,1,0,0,0,0,0
8,2558,13374,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
9,2558,30993,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
10,2558,30099,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
11,2558,26592,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
12,2558,26811,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
1,2559,13947,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
2,2559,23362,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
3,2559,33907,4028.20,0.0801,3,0.0270,31,0.8571,1,1,0,0,0,0,0
4,2559,33548,4028.20,0.0801,3,0.0270,32,1.0000,1,1,0,0,0,0,0
5,2559,34740,4028.20,0.0801,3,0.0270,32,1.0000,1,1,0,0,0,0,0
6,2559,18878,4028.20,0.0801,3,0.0270,29,0.5714,0,1,0,0,0,0,0
7,2559,23878,4028.20,0.0801,3,0.0270,29,0.5714,0,1,0,0,0,0,0
8,2559,23152,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
9,2559,34749,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
10,2559,27343,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
11,2559,28489,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
12,2559,26327,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
1,2560,14102,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
2,2560,24763,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
3,2560,32267,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
4,2560,32351,4028.20,0.0801,3,0.0270,31,0.8571,1,1,0,0,0,0,0
5,2560,33710,4028.20,0.0801,3,0.0270,30,0.7143,1,1,0,0,0,0,0
6,2560,21359,4028.20,0.0801,3,0.0270,29,0.5714,0,1,0,0,0,0,0
7,2560,28568,4028.20,0.0801,3,0.0270,29,0.5714,0,1,0,0,0,0,0
8,2560,26975,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
9,2560,33487,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
10,2560,27767,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
11,2560,24504,4028.20,0.0801,3,0.0270,28,0.4286,1,1,0,0,0,0,0
12,2560,21364,4028.20,0.0801,3,0.0270,26,0.1429,1,1,0,0,0,0,0
1,2561,17497,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
2,2561,24259,4028.20,0.0801,3,0.0270,27,0.2857,1,1,0,0,0,0,0
3,2561,28469,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
4,2561,26340,4028.20,0.0801,3,0.0270,29,0.5714,1,1,0,0,0,0,0
1,2556,95000,1949.16,0.0382,4,0.0405,28,0.4286,1,1,0,0,0,0,0
2,2556,115000,1949.16,0.0382,4,0.0405,30,0.7143,1,1,0,0,0,0,0
3,2556,78000,1949.16,0.0382,4,0.0405,31,0.8571,0,1,0,0,0,0,0
4,2556,71000,1949.16,0.0382,4,0.0405,32,1.0000,0,1,0,0,0,0,0
5,2556,73000,1949.16,0.0382,4,0.0405,32,1.0000,0,1,0,0,0,0,0
6,2556,80000,1949.16,0.0382,4,0.0405,30,0.7143,1,1,0,0,0,0,0
7,2556,130000,1949.16,0.0382,4,0.0405,30,0.7143,1,1,0,0,0,0,0
8,2556,109000,1949.16,0.0382,4,0.0405,30,0.7143,1,1,0,0,0,0,0
9,2556,131000,1949.16,0.0382,4,0.0405,29,0.5714,1,1,0,0,0,0,0
10,2556,78000,1949.16,0.0382,4,0.0405,29,0.5714,0,1,0,0,0,0,0
11,2556,85000,1949.16,0.0382,4,0.0405,30,0.7143,1,1,0,0,0,0,0
