month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,13475,4179.78,5,26,30,28,1
2,2556,13471,4179.78,5,28,32,30,1
3,2556,10878,4179.78,5,24,34,31,0
4,2556,8733,4179.78,5,29,34,32,0
5,2556,8909,4179.78,5,30,34,32,0
6,2556,12522,4179.78,5,28,32,30,1
7,2556,12522,4179.78,5,28,32,30,1
8,2556,7834,4179.78,5,28,31,30,1
9,2556,12479,4179.78,5,24,32,29,1
10,2556,10620,4179.78,5,26,31,29,0
11,2556,12037,4179.78,5,26,31,30,1
12,2556,12000,4179.78,5,21,30,25,1
1,2557,9071,4179.78,5,21,28,25,1
2,2557,9978,4179.78,5,24,29,28,1
3,2557,9978,4179.78,5,27,32,30,1
4,2557,9978,4179.78,5,29,33,31,1
5,2557,9978,4179.78,5,29,33,31,1
6,2557,9978,4179.78,5,28,32,30,0
7,2557,8697,4179.78,5,27,32,30,0
8,2557,8697,4179.78,5,27,31,29,1
9,2557,5623,4179.78,5,28,31,29,1
10,2557,8045,4179.78,5,27,29,29,1
11,2557,3563,4179.78,5,26,31,29,1
12,2557,4958,4179.78,5,24,29,27,1
1,2558,5162,4179.78,5,23,29,26,1
2,2558,5940,4179.78,5,26,31,28,1
3,2558,5940,4179.78,5,27,31,30,1
4,2558,5123,4179.78,5,27,33,30,1
5,2558,5932,4179.78,5,29,32,31,1
6,2558,4092,4179.78,5,29,33,30,0
7,2558,4929,4179.78,5,28,32,30,0
8,2558,6226,4179.78,5,27,32,30,1
9,2558,8132,4179.78,5,26,31,29,1
10,2558,6226,4179.78,5,27,30,29,1
11,2558,6226,4179.78,5,28,31,29,1
12,2558,6226,4179.78,5,24,31,28,1
1,2559,6226,4179.78,5,18,31,27,1
2,2559,6226,4179.78,5,20,30,28,1
3,2559,6226,4179.78,5,27,33,31,1
4,2559,6226,4179.78,5,29,34,32,1
5,2559,6226,4179.78,5,29,34,32,1
6,2559,6226,4179.78,5,27,32,29,0
7,2559,6226,4179.78,5,28,31,29,0
8,2559,6226,4179.78,5,29,31,30,1
9,2559,6226,4179.78,5,27,31,29,1
10,2559,6226,4179.78,5,27,30,29,1
