month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,1860.00,513.10,2,26,30,28,1
2,2556,1580.00,513.10,2,28,32,30,1
3,2556,3040.00,513.10,2,24,34,31,0
4,2556,1440.00,513.10,2,29,34,32,0
5,2556,2280.00,513.10,2,30,34,32,0
6,2556,2060.00,513.10,2,28,32,30,1
7,2556,2600.00,513.10,2,28,32,30,1
8,2556,2140.00,513.10,2,28,31,30,1
9,2556,2160.00,513.10,2,24,32,29,1
11,2559,34980.00,513.10,2,27,31,29,1
12,2559,34980.00,513.10,2,24,30,27,1
1,2560,43360.00,513.10,2,26,29,27,1
2,2560,42040.00,513.10,2,24,31,28,1
3,2560,60620.00,513.10,2,27,32,30,1
4,2560,38060.00,513.10,2,28,33,31,1
5,2560,40160.00,513.10,2,27,32,30,1
6,2560,40100.00,513.10,2,28,31,29,0
7,2560,38320.00,513.10,2,27,31,29,0
8,2560,43620.00,513.10,2,27,31,29,1
9,2560,42080.00,513.10,2,28,31,29,1
10,2560,33200.00,513.10,2,26,31,28,1
11,2560,37640.00,513.10,2,25,30,28,1
12,2560,18560.00,513.10,2,20,29,26,1
1,2561,29220.00,513.10,2,22,30,27,1
2,2561,36440.00,513.10,2,23,30,27,1
3,2561,2131.00,513.10,2,24,31,29,1
4,2561,1933.00,513.10,2,24,32,29,1
5,2561,2485.00,513.10,2,28,31,29,1
6,2561,3026.00,513.10,2,26,31,30,0
7,2561,2888.00,513.10,2,27,30,29,0
8,2561,1267.00,513.10,2,27,30,29,1
9,2561,2034.00,513.10,2,27,31,29,1
10,2561,2459.00,513.10,2,27,31,29,1
11,2561,2474.00,513.10,2,26,31,29,1
1,2556,31280.00,1567.36,2,26,30,28,1
2,2556,36320.00,1567.36,2,28,32,30,1
3,2556,26080.00,1567.36,2,24,34,31,0
4,2556,32720.00,1567.36,2,29,34,32,0
5,2556,34560.00,1567.36,2,30,34,32,0
6,2556,36320.00,1567.36,2,28,32,30,1
7,2556,36320.00,1567.36,2,28,32,30,1
8,2556,5680.00,1567.36,2,28,31,30,1
9,2556,22000.00,1567.36,2,24,32,29,1
10,2556,24160.00,1567.36,2,26,31,29,0
11,2556,11360.00,1567.36,2,26,31,30,1
12,2556,15040.00,1567.36,2,21,30,25,1
1,2557,19760.00,1567.36,2,21,28,25,1
2,2557,24960.00,1567.36,2,24,29,28,1
3,2557,30000.00,1567.36,2,27,32,30,1
4,2557,31760.00,1567.36,2,29,33,31,1
5,2557,23760.00,1567.36,2,29,33,31,1
6,2557,28720.00,1567.36,2,28,32,30,0
7,2557,36480.00,1567.36,2,27,32,30,0
8,2557,31120.00,1567.36,2,27,31,29,1
9,2557,32676.00,1567.36,2,28,31,29,1
10,2557,24124.00,1567.36,2,27,29,29,1
11,2557,30240.00,1567.36,2,26,31,29,1
12,2557,29280.00,1567.36,2,24,29,27,1
1,2558,27440.00,1567.36,2,23,29,26,1
2,2558,26480.00,1567.36,2,26,31,28,1
3,2558,24880.00,1567.36,2,27,31,30,1
4,2558,24000.00,1567.36,2,27,33,30,1
5,2558,29600.00,1567.36,2,29,32,31,1
6,2558,31600.00,1567.36,2,29,33,30,0
7,2558,27760.00,1567.36,2,28,32,30,0
8,2558,37200.00,1567.36,2,27,32,30,1
9,2558,26560.00,1567.36,2,26,31,29,1
10,2558,32480.00,1567.36,2,27,30,29,1
11,2558,27200.00,1567.36,2,28,31,29,1
12,2558,33280.00,1567.36,2,24,31,28,1
1,2559,21760.00,1567.36,2,18,31,27,1
2,2559,26560.00,1567.36,2,20,30,28,1
