month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,2640,4766.82,2,26,30,28,1
2,2556,4320,4766.82,2,28,32,30,1
3,2556,2160,4766.82,2,24,34,31,0
4,2556,2040,4766.82,2,29,34,32,0
5,2556,5880,4766.82,2,30,34,32,0
6,2556,1620,4766.82,2,28,32,30,1
7,2556,2280,4766.82,2,28,32,30,1
8,2556,3120,4766.82,2,28,31,30,1
9,2556,3540,4766.82,2,24,32,29,1
10,2556,2520,4766.82,2,26,31,29,0
11,2556,2760,4766.82,2,26,31,30,1
12,2556,1320,4766.82,2,21,30,25,1
1,2557,1080,4766.82,2,21,28,25,1
2,2557,1800,4766.82,2,24,29,28,1
3,2557,2880,4766.82,2,27,32,30,1
4,2557,3360,4766.82,2,29,33,31,1
5,2557,900,4766.82,2,29,33,31,1
6,2557,2460,4766.82,2,28,32,30,0
7,2557,2280,4766.82,2,27,32,30,0
8,2557,2520,4766.82,2,27,31,29,1
9,2557,1680,4766.82,2,28,31,29,1
10,2557,420,4766.82,2,27,29,29,1
11,2557,396,4766.82,2,26,31,29,1
12,2557,384,4766.82,2,24,29,27,1
1,2558,414,4766.82,2,23,29,26,1
2,2558,1644,4766.82,2,26,31,28,1
3,2558,4014,4766.82,2,27,31,30,1
4,2558,2994,4766.82,2,27,33,30,1
5,2558,3402,4766.82,2,29,32,31,1
6,2558,1428,4766.82,2,29,33,30,0
7,2558,5904,4766.82,2,28,32,30,0
8,2558,2088,4766.82,2,27,32,30,1
9,2558,3972,4766.82,2,26,31,29,1
10,2558,984,4766.82,2,27,30,29,1
11,2558,4242,4766.82,2,28,31,29,1
12,2558,3972,4766.82,2,24,31,28,1
1,2559,4704,4766.82,2,18,31,27,1
2,2559,1380,4766.82,2,20,30,28,1
3,2559,3720,4766.82,2,27,33,31,1
4,2559,6120,4766.82,2,29,34,32,1
5,2559,6120,4766.82,2,29,34,32,1
6,2559,6240,4766.82,2,27,32,29,0
7,2559,5700,4766.82,2,28,31,29,0
8,2559,4620,4766.82,2,29,31,30,1
9,2559,1764,4766.82,2,27,31,29,1
10,2559,4896,4766.82,2,27,30,29,1
11,2559,1560,4766.82,2,27,31,29,1
12,2559,2280,4766.82,2,24,30,27,1
1,2560,3540,4766.82,2,26,29,27,1
2,2560,6300,4766.82,2,24,31,28,1
3,2560,3660,4766.82,2,27,32,30,1
4,2560,6360,4766.82,2,28,33,31,1
5,2560,6240,4766.82,2,27,32,30,1
6,2560,5940,4766.82,2,28,31,29,0
7,2560,5040,4766.82,2,27,31,29,0
8,2560,8200,4766.82,2,27,31,29,1
9,2560,15000,4766.82,2,28,31,29,1
10,2560,10400,4766.82,2,26,31,28,1
11,2560,15400,4766.82,2,25,30,28,1
12,2560,13800,4766.82,2,20,29,26,1
1,2561,17200,4766.82,2,22,30,27,1
2,2561,22800,4766.82,2,23,30,27,1
3,2561,18600,4766.82,2,24,31,29,1
4,2561,18000,4766.82,2,24,32,29,1
5,2561,19600,4766.82,2,28,31,29,1
6,2561,16200,4766.82,2,26,31,30,0
7,2561,19400,4766.82,2,27,30,29,0
8,2561,20180,4766.82,2,27,30,29,1
9,2561,27480,4766.82,2,27,31,29,1
10,2561,12400,4766.82,2,27,31,29,1
11,2561,18260,4766.82,2,26,31,29,1
12,2561,8440,4766.82,2,26,30,28,1
1,2556,1524,1602.51,2,26,30,28,1
2,2556,1475,1602.51,2,28,32,30,1
3,2556,1223,1602.51,2,24,34,31,0
4,2556,1486,1602.51,2,29,34,32,0
5,2556,1434,1602.51,2,30,34,32,0
6,2556,1344,1602.51,2,28,32,30,1
7,2556,1344,1602.51,2,28,32,30,1
8,2556,878,1602.51,2,28,31,30,1
9,2556,1715,1602.51,2,24,32,29,1
10,2556,1652,1602.51,2,26,31,29,0
11,2556,1636,1602.51,2,26,31,30,1
12,2556,1600,1602.51,2,21,30,25,1
1,2557,431,1602.51,2,21,28,25,1
2,2557,215,1602.51,2,24,29,28,1
3,2557,215,1602.51,2,27,32,30,1
4,2557,215,1602.51,2,29,33,31,1
5,2557,215,1602.51,2,29,33,31,1
6,2557,215,1602.51,2,28,32,30,0
7,2557,1130,1602.51,2,27,32,30,0
8,2557,1130,1602.51,2,27,31,29,1
9,2557,719,1602.51,2,28,31,29,1
10,2557,971,1602.51,2,27,29,29,1
11,2557,403,1602.51,2,26,31,29,1
12,2557,772,1602.51,2,24,29,27,1
1,2558,947,1602.51,2,23,29,26,1
2,2558,727,1602.51,2,26,31,28,1
3,2558,727,1602.51,2,27,31,30,1
4,2558,198,1602.51,2,27,33,30,1
5,2558,466,1602.51,2,29,32,31,1
6,2558,392,1602.51,2,29,33,30,0
7,2558,498,1602.51,2,28,32,30,0
8,2558,672,1602.51,2,27,32,30,1
9,2558,672,1602.51,2,26,31,29,1
10,2558,672,1602.51,2,27,30,29,1
11,2558,672,1602.51,2,28,31,29,1
12,2558,672,1602.51,2,24,31,28,1
1,2559,672,1602.51,2,18,31,27,1
2,2559,672,1602.51,2,20,30,28,1
3,2559,672,1602.51,2,27,33,31,1
4,2559,672,1602.51,2,29,34,32,1
5,2559,672,1602.51,2,29,34,32,1
6,2559,672,1602.51,2,27,32,29,0
7,2559,672,1602.51,2,28,31,29,0
8,2559,672,1602.51,2,29,31,30,1
9,2559,672,1602.51,2,27,31,29,1
10,2559,672,1602.51,2,27,30,29,1
11,2559,672,1602.51,2,27,31,29,1
12,2559,672,1602.51,2,24,30,27,1
1,2560,672,1602.51,2,26,29,27,1
2,2560,672,1602.51,2,24,31,28,1
3,2560,586,1602.51,2,27,32,30,1
4,2560,1134,1602.51,2,28,33,31,1
