month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
1,2556,4631,2483.00,5,16,26,30,28,1
2,2556,4638,2483.00,5,16,28,32,30,1
3,2556,4193,2483.00,5,16,24,34,31,0
4,2556,4483,2483.00,5,16,29,34,32,0
5,2556,4294,2483.00,5,16,30,34,32,0
6,2556,4447,2483.00,5,16,28,32,30,1
7,2556,4271,2483.00,5,16,28,32,30,1
8,2556,4412,2483.00,5,16,28,31,30,1
9,2556,4570,2483.00,5,16,24,32,29,1
10,2556,4559,2483.00,5,16,26,31,29,0
11,2556,4770,2483.00,5,16,26,31,30,1
12,2556,4721,2483.00,5,16,21,30,25,1
1,2557,4827,2483.00,5,16,21,28,25,1
2,2557,4862,2483.00,5,16,24,29,28,1
3,2557,4500,2483.00,5,16,27,32,30,1
4,2557,4888,2483.00,5,16,29,33,31,1
5,2557,4695,2483.00,5,16,29,33,31,1
6,2557,5259,2483.00,5,16,28,32,30,0
7,2557,4922,2483.00,5,16,27,32,30,0
8,2557,8187,2483.00,5,16,27,31,29,1
9,2557,10218,2483.00,5,16,28,31,29,1
10,2557,10149,2483.00,5,16,27,29,29,1
11,2557,10664,2483.00,5,16,26,31,29,1
12,2557,9795,2483.00,5,16,24,29,27,1
1,2558,8424,2483.00,5,16,23,29,26,1
2,2558,8222,2483.00,5,16,26,31,28,1
3,2558,6720,2483.00,5,16,27,31,30,1
4,2558,5454,2483.00,5,16,27,33,30,1
5,2558,5761,2483.00,5,16,29,32,31,1
6,2558,6120,2483.00,5,16,29,33,30,0
7,2558,5645,2483.00,5,16,28,32,30,0
8,2558,5645,2483.00,5,16,27,32,30,1
9,2558,5687,2483.00,5,16,26,31,29,1
10,2558,5130,2483.00,5,16,27,30,29,1
11,2558,5516,2483.00,5,16,28,31,29,1
12,2558,4545,2483.00,5,16,24,31,28,1
1,2559,3737,2483.00,5,16,18,31,27,1
2,2559,3704,2483.00,5,16,20,30,28,1
3,2559,3440,2483.00,5,16,27,33,31,1
4,2559,3526,2483.00,5,16,29,34,32,1
5,2559,3239,2483.00,5,16,29,34,32,1
6,2559,3251,2483.00,5,16,27,32,29,0
7,2559,3217,2483.00,5,16,28,31,29,0
8,2559,3882,2483.00,5,16,29,31,30,1
