month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
1,2556,30000,5762.33,7,16,26,30,28,1
2,2556,28000,5762.33,7,16,28,32,30,1
3,2556,36000,5762.33,7,16,24,34,31,0
4,2556,30000,5762.33,7,16,29,34,32,0
5,2556,39000,5762.33,7,16,30,34,32,0
6,2556,31000,5762.33,7,16,28,32,30,1
7,2556,31000,5762.33,7,16,28,32,30,1
8,2556,34000,5762.33,7,16,28,31,30,1
9,2556,28000,5762.33,7,16,24,32,29,1
10,2556,30000,5762.33,7,16,26,31,29,0
11,2556,34000,5762.33,7,16,26,31,30,1
12,2556,26000,5762.33,7,16,21,30,25,1
1,2557,25000,5762.33,7,16,21,28,25,1
2,2557,28000,5762.33,7,16,24,29,28,1
3,2557,37000,5762.33,7,16,27,32,30,1
4,2557,39000,5762.33,7,16,29,33,31,1
5,2557,40000,5762.33,7,16,29,33,31,1
6,2557,39000,5762.33,7,16,28,32,30,0
7,2557,38000,5762.33,7,16,27,32,30,0
8,2557,38000,5762.33,7,16,27,31,29,1
9,2557,37000,5762.33,7,16,28,31,29,1
10,2557,33511,5762.33,7,16,27,29,29,1
11,2557,35000,5762.33,7,16,26,31,29,1
12,2557,29000,5762.33,7,16,24,29,27,1
1,2558,27000,5762.33,7,16,23,29,26,1
2,2558,30000,5762.33,7,16,26,31,28,1
3,2558,36000,5762.33,7,16,27,31,30,1
4,2558,34000,5762.33,7,16,27,33,30,1
5,2558,39000,5762.33,7,16,29,32,31,1
6,2558,34000,5762.33,7,16,29,33,30,0
7,2558,38000,5762.33,7,16,28,32,30,0
8,2558,33000,5762.33,7,16,27,32,30,1
9,2558,32000,5762.33,7,16,26,31,29,1
10,2558,33000,5762.33,7,16,27,30,29,1
11,2558,33000,5762.33,7,16,28,31,29,1
12,2558,31000,5762.33,7,16,24,31,28,1
1,2559,29000,5762.33,7,16,18,31,27,1
2,2559,29000,5762.33,7,16,20,30,28,1
3,2559,31000,5762.33,7,16,27,33,31,1
4,2559,29000,5762.33,7,16,29,34,32,1
5,2559,32000,5762.33,7,16,29,34,32,1
6,2559,34000,5762.33,7,16,27,32,29,0
7,2559,29000,5762.33,7,16,28,31,29,0
8,2559,31000,5762.33,7,16,29,31,30,1
9,2559,28000,5762.33,7,16,27,31,29,1
10,2559,24000,5762.33,7,16,27,30,29,1
11,2559,25000,5762.33,7,16,27,31,29,1
12,2559,22000,5762.33,7,16,24,30,27,1
1,2560,21000,5762.33,7,16,26,29,27,1
2,2560,21000,5762.33,7,16,24,31,28,1
3,2560,29000,5762.33,7,16,27,32,30,1
4,2560,25300,5762.33,7,16,28,33,31,1
5,2560,26700,5762.33,7,16,27,32,30,1
6,2560,26000,5762.33,7,16,28,31,29,0
7,2560,24000,5762.33,7,16,27,31,29,0
8,2560,26000,5762.33,7,16,27,31,29,1
9,2560,25000,5762.33,7,16,28,31,29,1
10,2560,22000,5762.33,7,16,26,31,28,1
11,2560,24000,5762.33,7,16,25,30,28,1
12,2560,21000,5762.33,7,16,20,29,26,1
1,2561,21000,5762.33,7,16,22,30,27,1
2,2561,20000,5762.33,7,16,23,30,27,1
3,2561,28000,5762.33,7,16,24,31,29,1
4,2561,24000,5762.33,7,16,24,32,29,1
9,2558,38000,2506.04,4,40,26,31,29,1
10,2558,34000,2506.04,4,40,27,30,29,1
11,2558,36000,2506.04,4,40,28,31,29,1
12,2558,36000,2506.04,4,40,24,31,28,1
1,2559,33000,2506.04,4,40,18,31,27,1
2,2559,32000,2506.04,4,40,20,30,28,1
3,2559,43000,2506.04,4,40,27,33,31,1
4,2559,41000,2506.04,4,40,29,34,32,1
5,2559,45000,2506.04,4,40,29,34,32,1
6,2559,38000,2506.04,4,40,27,32,29,0
7,2559,40000,2506.04,4,40,28,31,29,0
8,2559,39000,2506.04,4,40,29,31,30,1
9,2559,36000,2506.04,4,40,27,31,29,1
10,2559,37000,2506.04,4,40,27,30,29,1
11,2559,38000,2506.04,4,40,27,31,29,1
12,2559,34000,2506.04,4,40,24,30,27,1
1,2560,33000,2506.04,4,40,26,29,27,1
2,2560,36000,2506.04,4,40,24,31,28,1
3,2560,43000,2506.04,4,40,27,32,30,1
4,2560,42000,2506.04,4,40,28,33,31,1
5,2560,40000,2506.04,4,40,27,32,30,1
7,2560,34000,2506.04,4,40,27,31,29,0
8,2560,35000,2506.04,4,40,27,31,29,1
9,2560,35000,2506.04,4,40,28,31,29,1
10,2560,36000,2506.04,4,40,26,31,28,1
11,2560,35000,2506.04,4,40,25,30,28,1
12,2560,30000,2506.04,4,40,20,29,26,1
1,2561,32000,2506.04,4,40,22,30,27,1
2,2561,35000,2506.04,4,40,23,30,27,1
3,2561,40000,2506.04,4,40,24,31,29,1
4,2561,39000,2506.04,4,40,24,32,29,1
5,2561,38000,2506.04,4,40,28,31,29,1
6,2561,36000,2506.04,4,40,26,31,30,0
7,2561,36000,2506.04,4,40,27,30,29,0
8,2561,39000,2506.04,4,40,27,30,29,1
