month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
1,2556,12541,1641.00,1,40,26,30,28,1
2,2556,12923,1641.00,1,40,28,32,30,1
3,2556,13183,1641.00,1,40,24,34,31,0
4,2556,11517,1641.00,1,40,29,34,32,0
5,2556,13752,1641.00,1,40,30,34,32,0
6,2556,12583,1641.00,1,40,28,32,30,1
7,2556,12659,1641.00,1,40,28,32,30,1
8,2556,13910,1641.00,1,40,28,31,30,1
9,2556,12340,1641.00,1,40,24,32,29,1
10,2556,12764,1641.00,1,40,26,31,29,0
11,2556,13013,1641.00,1,40,26,31,30,1
12,2556,10774,1641.00,1,40,21,30,25,1
1,2557,11038,1641.00,1,40,21,28,25,1
2,2557,10018,1641.00,1,40,24,29,28,1
3,2557,13685,1641.00,1,40,27,32,30,1
4,2557,11254,1641.00,1,40,29,33,31,1
5,2557,11369,1641.00,1,40,29,33,31,1
6,2557,12010,1641.00,1,40,28,32,30,0
7,2557,12634,1641.00,1,40,27,32,30,0
8,2557,12419,1641.00,1,40,27,31,29,1
9,2557,12534,1641.00,1,40,28,31,29,1
10,2557,11539,1641.00,1,40,27,29,29,1
11,2557,11902,1641.00,1,40,26,31,29,1
12,2557,11103,1641.00,1,40,24,29,27,1
1,2558,11221,1641.00,1,40,23,29,26,1
2,2558,12438,1641.00,1,40,26,31,28,1
3,2558,12242,1641.00,1,40,27,31,30,1
4,2558,11385,1641.00,1,40,27,33,30,1
5,2558,11529,1641.00,1,40,29,32,31,1
6,2558,10707,1641.00,1,40,29,33,30,0
7,2558,11945,1641.00,1,40,28,32,30,0
8,2558,11414,1641.00,1,40,27,32,30,1
9,2558,11027,1641.00,1,40,26,31,29,1
10,2558,11543,1641.00,1,40,27,30,29,1
11,2558,11120,1641.00,1,40,28,31,29,1
12,2558,11208,1641.00,1,40,24,31,28,1
1,2559,10820,1641.00,1,40,18,31,27,1
2,2559,11697,1641.00,1,40,20,30,28,1
3,2559,12243,1641.00,1,40,27,33,31,1
4,2559,11904,1641.00,1,40,29,34,32,1
5,2559,11144,1641.00,1,40,29,34,32,1
6,2559,11554,1641.00,1,40,27,32,29,0
7,2559,10896,1641.00,1,40,28,31,29,0
8,2559,11270,1641.00,1,40,29,31,30,1
9,2559,11049,1641.00,1,40,27,31,29,1
10,2559,12448,1641.00,1,40,27,30,29,1
11,2559,11748,1641.00,1,40,27,31,29,1
12,2559,11260,1641.00,1,40,24,30,27,1
1,2560,11107,1641.00,1,40,26,29,27,1
2,2560,10803,1641.00,1,40,24,31,28,1
3,2560,12768,1641.00,1,40,27,32,30,1
4,2560,10889,1641.00,1,40,28,33,31,1
5,2560,11427,1641.00,1,40,27,32,30,1
6,2560,11109,1641.00,1,40,28,31,29,0
7,2560,11163,1641.00,1,40,27,31,29,0
8,2560,11957,1641.00,1,40,27,31,29,1
9,2560,11125,1641.00,1,40,28,31,29,1
10,2560,10251,1641.00,1,40,26,31,28,1
11,2560,11072,1641.00,1,40,25,30,28,1
12,2560,10178,1641.00,1,40,20,29,26,1
1,2561,9975,1641.00,1,40,22,30,27,1
2,2561,9817,1641.00,1,40,23,30,27,1
3,2561,11304,1641.00,1,40,24,31,29,1
4,2561,9964,1641.00,1,40,24,32,29,1
1,2556,146000,13621.03,11,27,26,30,28,1
2,2556,134000,13621.03,11,27,28,32,30,1
3,2556,166000,13621.03,11,27,24,34,31,0
4,2556,122000,13621.03,11,27,29,34,32,0
5,2556,154000,13621.03,11,27,30,34,32,0
6,2556,170000,13621.03,11,27,28,32,30,1
7,2556,148000,13621.03,11,27,28,32,30,1
8,2556,165000,13621.03,11,27,28,31,30,1
9,2556,143000,13621.03,11,27,24,32,29,1
10,2556,155000,13621.03,11,27,26,31,29,0
11,2556,140000,13621.03,11,27,26,31,30,1
12,2556,106000,13621.03,11,27,21,30,25,1
1,2557,119000,13621.03,11,27,21,28,25,1
2,2557,116000,13621.03,11,27,24,29,28,1
3,2557,141000,13621.03,11,27,27,32,30,1
4,2557,128000,13621.03,11,27,29,33,31,1
5,2557,137000,13621.03,11,27,29,33,31,1
6,2557,139000,13621.03,11,27,28,32,30,0
7,2557,139000,13621.03,11,27,27,32,30,0
8,2557,140000,13621.03,11,27,27,31,29,1
9,2557,142000,13621.03,11,27,28,31,29,1
10,2557,140000,13621.03,11,27,27,29,29,1
11,2557,140000,13621.03,11,27,26,31,29,1
12,2557,120000,13621.03,11,27,24,29,27,1
1,2558,126000,13621.03,11,27,23,29,26,1
2,2558,120000,13621.03,11,27,26,31,28,1
3,2558,134000,13621.03,11,27,27,31,30,1
4,2558,127000,13621.03,11,27,27,33,30,1
5,2558,142000,13621.03,11,27,29,32,31,1
6,2558,141000,13621.03,11,27,29,33,30,0
7,2558,160000,13621.03,11,27,28,32,30,0
8,2558,142000,13621.03,11,27,27,32,30,1
9,2558,144000,13621.03,11,27,26,31,29,1
10,2558,146000,13621.03,11,27,27,30,29,1
11,2558,145000,13621.03,11,27,28,31,29,1
12,2558,127000,13621.03,11,27,24,31,28,1
1,2559,128000,13621.03,11,27,18,31,27,1
2,2559,115000,13621.03,11,27,20,30,28,1
3,2559,146000,13621.03,11,27,27,33,31,1
4,2559,125000,13621.03,11,27,29,34,32,1
5,2559,122000,13621.03,11,27,29,34,32,1
6,2559,149000,13621.03,11,27,27,32,29,0
7,2559,135000,13621.03,11,27,28,31,29,0
8,2559,148000,13621.03,11,27,29,31,30,1
9,2559,146000,13621.03,11,27,27,31,29,1
10,2559,152000,13621.03,11,27,27,30,29,1
11,2559,140000,13621.03,11,27,27,31,29,1
12,2559,128000,13621.03,11,27,24,30,27,1
1,2560,128000,13621.03,11,27,26,29,27,1
2,2560,123000,13621.03,11,27,24,31,28,1
3,2560,144000,13621.03,11,27,27,32,30,1
4,2560,117000,13621.03,11,27,28,33,31,1
5,2560,133000,13621.03,11,27,27,32,30,1
6,2560,142000,13621.03,11,27,28,31,29,0
7,2560,134000,13621.03,11,27,27,31,29,0
8,2560,145000,13621.03,11,27,27,31,29,1
9,2560,140000,13621.03,11,27,28,31,29,1
10,2560,118000,13621.03,11,27,26,31,28,1
11,2560,134000,13621.03,11,27,25,30,28,1
12,2560,122000,13621.03,11,27,20,29,26,1
1,2561,117000,13621.03,11,27,22,30,27,1
2,2561,123000,13621.03,11,27,23,30,27,1
3,2561,140000,13621.03,11,27,24,31,29,1
4,2561,109000,13621.03,11,27,24,32,29,1
9,2561,137000,13621.03,11,27,27,31,29,1
9,2558,20000,2714.21,3,40,26,31,29,1
10,2558,21000,2714.21,3,40,27,30,29,1
11,2558,20000,2714.21,3,40,28,31,29,1
12,2558,19000,2714.21,3,40,24,31,28,1
1,2559,18000,2714.21,3,40,18,31,27,1
2,2559,16000,2714.21,3,40,20,30,28,1
3,2559,20000,2714.21,3,40,27,33,31,1
4,2559,20000,2714.21,3,40,29,34,32,1
5,2559,20000,2714.21,3,40,29,34,32,1
6,2559,22000,2714.21,3,40,27,32,29,0
7,2559,18000,2714.21,3,40,28,31,29,0
8,2559,19000,2714.21,3,40,29,31,30,1
9,2559,22000,2714.21,3,40,27,31,29,1
10,2559,18000,2714.21,3,40,27,30,29,1
11,2559,20000,2714.21,3,40,27,31,29,1
12,2559,16000,2714.21,3,40,24,30,27,1
1,2560,16000,2714.21,3,40,26,29,27,1
2,2560,16000,2714.21,3,40,24,31,28,1
3,2560,18000,2714.21,3,40,27,32,30,1
4,2560,17000,2714.21,3,40,28,33,31,1
5,2560,17000,2714.21,3,40,27,32,30,1
8,2560,18000,2714.21,3,40,27,31,29,1
9,2560,21000,2714.21,3,40,28,31,29,1
10,2560,17000,2714.21,3,40,26,31,28,1
11,2560,18000,2714.21,3,40,25,30,28,1
12,2560,18000,2714.21,3,40,20,29,26,1
1,2561,13000,2714.21,3,40,22,30,27,1
2,2561,17000,2714.21,3,40,23,30,27,1
3,2561,20000,2714.21,3,40,24,31,29,1
4,2561,18000,2714.21,3,40,24,32,29,1
5,2561,18000,2714.21,3,40,28,31,29,1
6,2561,19000,2714.21,3,40,26,31,30,0
7,2561,18000,2714.21,3,40,27,30,29,0
8,2561,17000,2714.21,3,40,27,30,29,1
9,2558,353000,12723.74,11,24,26,31,29,1
10,2558,399000,12723.74,11,24,27,30,29,1
11,2558,400000,12723.74,11,24,28,31,29,1
12,2558,387000,12723.74,11,24,24,31,28,1
1,2559,352000,12723.74,11,24,18,31,27,1
2,2559,363000,12723.74,11,24,20,30,28,1
3,2559,396000,12723.74,11,24,27,33,31,1
4,2559,409000,12723.74,11,24,29,34,32,1
5,2559,418000,12723.74,11,24,29,34,32,1
6,2559,381000,12723.74,11,24,27,32,29,0
7,2559,386000,12723.74,11,24,28,31,29,0
8,2559,391000,12723.74,11,24,29,31,30,1
9,2559,350000,12723.74,11,24,27,31,29,1
10,2559,357000,12723.74,11,24,27,30,29,1
11,2559,357000,12723.74,11,24,27,31,29,1
12,2559,325000,12723.74,11,24,24,30,27,1
1,2560,314000,12723.74,11,24,26,29,27,1
2,2560,304000,12723.74,11,24,24,31,28,1
3,2560,391000,12723.74,11,24,27,32,30,1
4,2560,342000,12723.74,11,24,28,33,31,1
5,2560,369000,12723.74,11,24,27,32,30,1
7,2560,355000,12723.74,11,24,27,31,29,0
8,2560,362000,12723.74,11,24,27,31,29,1
9,2560,346000,12723.74,11,24,28,31,29,1
10,2560,335000,12723.74,11,24,26,31,28,1
11,2560,321000,12723.74,11,24,25,30,28,1
12,2560,317000,12723.74,11,24,20,29,26,1
1,2561,330000,12723.74,11,24,22,30,27,1
2,2561,332000,12723.74,11,24,23,30,27,1
3,2561,402000,12723.74,11,24,24,31,29,1
4,2561,377000,12723.74,11,24,24,32,29,1
5,2561,392000,12723.74,11,24,28,31,29,1
6,2561,394000,12723.74,11,24,26,31,30,0
7,2561,382000,12723.74,11,24,27,30,29,0
8,2561,361000,12723.74,11,24,27,30,29,1
