area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage,catagories
4028.20,0.0801,3,0.1053,28,0.4286,1,20594,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,19972,lecture
4028.20,0.0801,3,0.1053,31,0.8571,0,17621,lecture
4028.20,0.0801,3,0.1053,32,1.0000,0,16953,lecture
4028.20,0.0801,3,0.1053,32,1.0000,0,17209,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,15010,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,25250,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,24699,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,25139,lecture
4028.20,0.0801,3,0.1053,29,0.5714,0,16444,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,19730,lecture
4028.20,0.0801,3,0.1053,25,0.0000,1,19237,lecture
4028.20,0.0801,3,0.1053,25,0.0000,1,14211,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,18517,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,20750,lecture
4028.20,0.0801,3,0.1053,31,0.8571,1,16944,lecture
4028.20,0.0801,3,0.1053,31,0.8571,1,18060,lecture
4028.20,0.0801,3,0.1053,30,0.7143,0,17386,lecture
4028.20,0.0801,3,0.1053,30,0.7143,0,14862,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,11753,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,27162,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,27577,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,27095,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,21109,lecture
4028.20,0.0801,3,0.1053,26,0.1429,1,13846,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,22856,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,25554,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,26472,lecture
4028.20,0.0801,3,0.1053,31,0.8571,1,25905,lecture
4028.20,0.0801,3,0.1053,30,0.7143,0,14882,lecture
4028.20,0.0801,3,0.1053,30,0.7143,0,20484,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,13374,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,30993,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,30099,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,26592,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,26811,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,13947,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,23362,lecture
4028.20,0.0801,3,0.1053,31,0.8571,1,33907,lecture
4028.20,0.0801,3,0.1053,32,1.0000,1,33548,lecture
4028.20,0.0801,3,0.1053,32,1.0000,1,34740,lecture
4028.20,0.0801,3,0.1053,29,0.5714,0,18878,lecture
4028.20,0.0801,3,0.1053,29,0.5714,0,23878,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,23152,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,34749,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,27343,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,28489,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,26327,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,14102,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,24763,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,32267,lecture
4028.20,0.0801,3,0.1053,31,0.8571,1,32351,lecture
4028.20,0.0801,3,0.1053,30,0.7143,1,33710,lecture
4028.20,0.0801,3,0.1053,29,0.5714,0,21359,lecture
4028.20,0.0801,3,0.1053,29,0.5714,0,28568,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,26975,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,33487,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,27767,lecture
4028.20,0.0801,3,0.1053,28,0.4286,1,24504,lecture
4028.20,0.0801,3,0.1053,26,0.1429,1,21364,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,17497,lecture
4028.20,0.0801,3,0.1053,27,0.2857,1,24259,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,28469,lecture
4028.20,0.0801,3,0.1053,29,0.5714,1,26340,lecture
1949.16,0.0382,4,0.1579,28,0.4286,1,95000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,115000,lecture
1949.16,0.0382,4,0.1579,31,0.8571,0,78000,lecture
1949.16,0.0382,4,0.1579,32,1.0000,0,71000,lecture
1949.16,0.0382,4,0.1579,32,1.0000,0,73000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,80000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,130000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,109000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,131000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,0,78000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,85000,lecture
1949.16,0.0382,4,0.1579,25,0.0000,1,84000,lecture
1949.16,0.0382,4,0.1579,25,0.0000,1,63000,lecture
1949.16,0.0382,4,0.1579,28,0.4286,1,85000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,96000,lecture
1949.16,0.0382,4,0.1579,31,0.8571,1,70000,lecture
1949.16,0.0382,4,0.1579,31,0.8571,1,65000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,0,50000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,0,47000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,47000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,128000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,113000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,116000,lecture
1949.16,0.0382,4,0.1579,27,0.2857,1,87000,lecture
1949.16,0.0382,4,0.1579,26,0.1429,1,51000,lecture
1949.16,0.0382,4,0.1579,28,0.4286,1,107000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,113000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,115000,lecture
1949.16,0.0382,4,0.1579,31,0.8571,1,116000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,0,63000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,0,91000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,61000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,144000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,129000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,118000,lecture
1949.16,0.0382,4,0.1579,28,0.4286,1,116000,lecture
1949.16,0.0382,4,0.1579,27,0.2857,1,56000,lecture
1949.16,0.0382,4,0.1579,28,0.4286,1,96000,lecture
1949.16,0.0382,4,0.1579,31,0.8571,1,132000,lecture
1949.16,0.0382,4,0.1579,32,1.0000,1,133000,lecture
1949.16,0.0382,4,0.1579,32,1.0000,1,143000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,0,77000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,0,88000,lecture
1949.16,0.0382,4,0.1579,30,0.7143,1,97000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,155000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,114000,lecture
1949.16,0.0382,4,0.1579,29,0.5714,1,120000,lecture
1949.16,0.0382,4,0.1579,27,0.2857,1,114000,lecture
1949.16,0.0382,4,0.1579,27,0.2857,1,58000,lecture
