month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
1,2556,4631,0.1396,2483.00,0.0000,5,0.0000,28,0.4286,1
2,2556,4638,0.1398,2483.00,0.0000,5,0.0000,30,0.7143,1
3,2556,4193,0.1248,2483.00,0.0000,5,0.0000,31,0.8571,0
4,2556,4483,0.1346,2483.00,0.0000,5,0.0000,32,1.0000,0
5,2556,4294,0.1282,2483.00,0.0000,5,0.0000,32,1.0000,0
6,2556,4447,0.1334,2483.00,0.0000,5,0.0000,30,0.7143,1
7,2556,4271,0.1274,2483.00,0.0000,5,0.0000,30,0.7143,1
8,2556,4412,0.1322,2483.00,0.0000,5,0.0000,30,0.7143,1
9,2556,4570,0.1375,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2556,4559,0.1371,2483.00,0.0000,5,0.0000,29,0.5714,0
11,2556,4770,0.1443,2483.00,0.0000,5,0.0000,30,0.7143,1
12,2556,4721,0.1426,2483.00,0.0000,5,0.0000,25,0.0000,1
1,2557,4827,0.1462,2483.00,0.0000,5,0.0000,25,0.0000,1
2,2557,4862,0.1474,2483.00,0.0000,5,0.0000,28,0.4286,1
3,2557,4500,0.1351,2483.00,0.0000,5,0.0000,30,0.7143,1
4,2557,4888,0.1482,2483.00,0.0000,5,0.0000,31,0.8571,1
5,2557,4695,0.1417,2483.00,0.0000,5,0.0000,31,0.8571,1
6,2557,5259,0.1608,2483.00,0.0000,5,0.0000,30,0.7143,0
7,2557,4922,0.1494,2483.00,0.0000,5,0.0000,30,0.7143,0
8,2557,8187,0.2596,2483.00,0.0000,5,0.0000,29,0.5714,1
9,2557,10218,0.3281,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2557,10149,0.3258,2483.00,0.0000,5,0.0000,29,0.5714,1
11,2557,10664,0.3432,2483.00,0.0000,5,0.0000,29,0.5714,1
12,2557,9795,0.3139,2483.00,0.0000,5,0.0000,27,0.2857,1
1,2558,8424,0.2676,2483.00,0.0000,5,0.0000,26,0.1429,1
2,2558,8222,0.2608,2483.00,0.0000,5,0.0000,28,0.4286,1
3,2558,6720,0.2101,2483.00,0.0000,5,0.0000,30,0.7143,1
4,2558,5454,0.1673,2483.00,0.0000,5,0.0000,30,0.7143,1
5,2558,5761,0.1777,2483.00,0.0000,5,0.0000,31,0.8571,1
6,2558,6120,0.1898,2483.00,0.0000,5,0.0000,30,0.7143,0
7,2558,5645,0.1738,2483.00,0.0000,5,0.0000,30,0.7143,0
8,2558,5645,0.1738,2483.00,0.0000,5,0.0000,30,0.7143,1
9,2558,5687,0.1752,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2558,5130,0.1564,2483.00,0.0000,5,0.0000,29,0.5714,1
11,2558,5516,0.1694,2483.00,0.0000,5,0.0000,29,0.5714,1
12,2558,4545,0.1367,2483.00,0.0000,5,0.0000,28,0.4286,1
1,2559,3737,0.1094,2483.00,0.0000,5,0.0000,27,0.2857,1
2,2559,3704,0.1083,2483.00,0.0000,5,0.0000,28,0.4286,1
3,2559,3440,0.0994,2483.00,0.0000,5,0.0000,31,0.8571,1
4,2559,3526,0.1023,2483.00,0.0000,5,0.0000,32,1.0000,1
5,2559,3239,0.0926,2483.00,0.0000,5,0.0000,32,1.0000,1
6,2559,3251,0.0930,2483.00,0.0000,5,0.0000,29,0.5714,0
7,2559,3217,0.0918,2483.00,0.0000,5,0.0000,29,0.5714,0
8,2559,3882,0.1143,2483.00,0.0000,5,0.0000,30,0.7143,1
9,2559,3435,0.0992,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2559,3342,0.0961,2483.00,0.0000,5,0.0000,29,0.5714,1
11,2559,3486,0.1009,2483.00,0.0000,5,0.0000,29,0.5714,1
12,2559,3331,0.0957,2483.00,0.0000,5,0.0000,27,0.2857,1
1,2560,3418,0.0986,2483.00,0.0000,5,0.0000,27,0.2857,1
2,2560,3233,0.0924,2483.00,0.0000,5,0.0000,28,0.4286,1
3,2560,2888,0.0807,2483.00,0.0000,5,0.0000,30,0.7143,1
4,2560,3100,0.0879,2483.00,0.0000,5,0.0000,31,0.8571,1
5,2560,2895,0.0810,2483.00,0.0000,5,0.0000,30,0.7143,1
6,2560,3162,0.0900,2483.00,0.0000,5,0.0000,29,0.5714,0
7,2560,2862,0.0799,2483.00,0.0000,5,0.0000,29,0.5714,0
8,2560,3109,0.0882,2483.00,0.0000,5,0.0000,29,0.5714,1
9,2560,3113,0.0883,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2560,3091,0.0876,2483.00,0.0000,5,0.0000,28,0.4286,1
11,2560,3310,0.0950,2483.00,0.0000,5,0.0000,28,0.4286,1
12,2560,3533,0.1025,2483.00,0.0000,5,0.0000,26,0.1429,1
1,2561,2872,0.0802,2483.00,0.0000,5,0.0000,27,0.2857,1
2,2561,3273,0.0937,2483.00,0.0000,5,0.0000,27,0.2857,1
3,2561,2850,0.0795,2483.00,0.0000,5,0.0000,29,0.5714,1
4,2561,3119,0.0885,2483.00,0.0000,5,0.0000,29,0.5714,1
1,2556,2096,0.0540,2483.00,0.0000,5,0.0000,28,0.4286,1
2,2556,2216,0.0581,2483.00,0.0000,5,0.0000,30,0.7143,1
3,2556,2036,0.0520,2483.00,0.0000,5,0.0000,31,0.8571,0
4,2556,2294,0.0607,2483.00,0.0000,5,0.0000,32,1.0000,0
5,2556,2517,0.0682,2483.00,0.0000,5,0.0000,32,1.0000,0
6,2556,2260,0.0595,2483.00,0.0000,5,0.0000,30,0.7143,1
7,2556,2314,0.0614,2483.00,0.0000,5,0.0000,30,0.7143,1
8,2556,2214,0.0580,2483.00,0.0000,5,0.0000,30,0.7143,1
9,2556,2252,0.0593,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2556,2044,0.0522,2483.00,0.0000,5,0.0000,29,0.5714,0
11,2556,2118,0.0547,2483.00,0.0000,5,0.0000,30,0.7143,1
12,2556,1859,0.0460,2483.00,0.0000,5,0.0000,25,0.0000,1
1,2557,1841,0.0454,2483.00,0.0000,5,0.0000,25,0.0000,1
2,2557,1905,0.0476,2483.00,0.0000,5,0.0000,28,0.4286,1
3,2557,1990,0.0504,2483.00,0.0000,5,0.0000,30,0.7143,1
4,2557,2215,0.0580,2483.00,0.0000,5,0.0000,31,0.8571,1
5,2557,1733,0.0418,2483.00,0.0000,5,0.0000,31,0.8571,1
6,2557,1457,0.0324,2483.00,0.0000,5,0.0000,30,0.7143,0
7,2557,7898,0.2498,2483.00,0.0000,5,0.0000,30,0.7143,0
8,2557,2129,0.0551,2483.00,0.0000,5,0.0000,29,0.5714,1
9,2557,2110,0.0545,2483.00,0.0000,5,0.0000,29,0.5714,1
10,2557,2078,0.0534,2483.00,0.0000,5,0.0000,29,0.5714,1
11,2557,1966,0.0496,2483.00,0.0000,5,0.0000,29,0.5714,1
12,2557,1695,0.0405,2483.00,0.0000,5,0.0000,27,0.2857,1
1,2558,1926,0.0483,2483.00,0.0000,5,0.0000,26,0.1429,1
