area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
4179.78,0.0000,5,0.0000,31,0.8571,1,16319
4179.78,0.0000,5,0.0000,29,0.5714,1,19165
4179.78,0.0000,5,0.0000,28,0.4286,1,15739
4179.78,0.0000,5,0.0000,28,0.4286,1,15386
4179.78,0.0000,5,0.0000,27,0.2857,1,15939
4179.78,0.0000,5,0.0000,29,0.5714,1,15034
4179.78,0.0000,5,0.0000,29,0.5714,1,15141
4179.78,0.0000,5,0.0000,29,0.5714,1,17903
4179.78,0.0000,5,0.0000,29,0.5714,1,16690
16497.39,0.8994,14,1.0000,28,0.4286,1,20165
16497.39,0.8994,14,1.0000,30,0.7143,1,20065
16497.39,0.8994,14,1.0000,31,0.8571,0,16775
16497.39,0.8994,14,1.0000,32,1.0000,0,16000
16497.39,0.8994,14,1.0000,32,1.0000,0,16166
16497.39,0.8994,14,1.0000,30,0.7143,1,20682
16497.39,0.8994,14,1.0000,30,0.7143,1,20682
16497.39,0.8994,14,1.0000,29,0.5714,1,20543
16497.39,0.8994,14,1.0000,29,0.5714,0,19257
16497.39,0.8994,14,1.0000,30,0.7143,1,24399
16497.39,0.8994,14,1.0000,25,0.0000,1,24000
16497.39,0.8994,14,1.0000,25,0.0000,1,20000
16497.39,0.8994,14,1.0000,28,0.4286,1,23471
16497.39,0.8994,14,1.0000,30,0.7143,1,23471
16497.39,0.8994,14,1.0000,31,0.8571,1,23471
16497.39,0.8994,14,1.0000,31,0.8571,1,23471
16497.39,0.8994,14,1.0000,30,0.7143,0,23471
16497.39,0.8994,14,1.0000,30,0.7143,0,19247
16497.39,0.8994,14,1.0000,29,0.5714,1,19247
16497.39,0.8994,14,1.0000,29,0.5714,1,16868
16497.39,0.8994,14,1.0000,28,0.4286,1,21750
16497.39,0.8994,14,1.0000,30,0.7143,1,23132
16497.39,0.8994,14,1.0000,31,0.8571,1,24276
16497.39,0.8994,14,1.0000,30,0.7143,1,21445
16497.39,0.8994,14,1.0000,29,0.5714,0,19635
16497.39,0.8994,14,1.0000,29,0.5714,0,16774
17875.32,1.0000,14,1.0000,30,0.7143,1,17082
17875.32,1.0000,14,1.0000,30,0.7143,1,17082
17875.32,1.0000,14,1.0000,29,0.5714,1,19000
17875.32,1.0000,14,1.0000,29,0.5714,0,20000
17875.32,1.0000,14,1.0000,30,0.7143,1,18000
17875.32,1.0000,14,1.0000,25,0.0000,1,17500
17875.32,1.0000,14,1.0000,25,0.0000,1,17000
17875.32,1.0000,14,1.0000,30,0.7143,0,16274
17875.32,1.0000,14,1.0000,29,0.5714,1,16274
17875.32,1.0000,14,1.0000,28,0.4286,1,18622
17875.32,1.0000,14,1.0000,30,0.7143,1,27827
17875.32,1.0000,14,1.0000,31,0.8571,1,19258
17875.32,1.0000,14,1.0000,30,0.7143,1,19142
17875.32,1.0000,14,1.0000,29,0.5714,0,19537
17875.32,1.0000,14,1.0000,29,0.5714,0,17245
17875.32,1.0000,14,1.0000,29,0.5714,1,18407
17875.32,1.0000,14,1.0000,29,0.5714,1,24833
17875.32,1.0000,14,1.0000,28,0.4286,1,19553
17875.32,1.0000,14,1.0000,28,0.4286,1,19884
17875.32,1.0000,14,1.0000,26,0.1429,1,17227
17875.32,1.0000,14,1.0000,27,0.2857,1,18711
17875.32,1.0000,14,1.0000,27,0.2857,1,21628
17875.32,1.0000,14,1.0000,29,0.5714,1,20055
17875.32,1.0000,14,1.0000,29,0.5714,1,20535
17875.32,1.0000,14,1.0000,29,0.5714,1,20419
17875.32,1.0000,14,1.0000,30,0.7143,0,19082
17875.32,1.0000,14,1.0000,29,0.5714,0,19244
17875.32,1.0000,14,1.0000,29,0.5714,1,21294
17875.32,1.0000,14,1.0000,29,0.5714,1,18408
17875.32,1.0000,14,1.0000,29,0.5714,1,25440
17875.32,1.0000,14,1.0000,29,0.5714,1,24439
17875.32,1.0000,14,1.0000,28,0.4286,1,17731
10235.45,0.4422,14,1.0000,28,0.4286,1,30124
10235.45,0.4422,14,1.0000,30,0.7143,1,30010
10235.45,0.4422,14,1.0000,31,0.8571,0,24679
10235.45,0.4422,14,1.0000,32,1.0000,0,24000
10235.45,0.4422,14,1.0000,32,1.0000,0,19304
10235.45,0.4422,14,1.0000,30,0.7143,1,28842
10235.45,0.4422,14,1.0000,30,0.7143,1,28842
10235.45,0.4422,14,1.0000,30,0.7143,1,17068
10235.45,0.4422,14,1.0000,30,0.7143,1,29862
10235.45,0.4422,14,1.0000,25,0.0000,1,29500
10235.45,0.4422,14,1.0000,25,0.0000,1,18394
10235.45,0.4422,14,1.0000,28,0.4286,1,29553
10235.45,0.4422,14,1.0000,30,0.7143,1,29553
10235.45,0.4422,14,1.0000,31,0.8571,1,29553
10235.45,0.4422,14,1.0000,31,0.8571,1,29553
10235.45,0.4422,14,1.0000,30,0.7143,0,29553
10235.45,0.4422,14,1.0000,30,0.7143,0,23072
10235.45,0.4422,14,1.0000,29,0.5714,1,23072
10235.45,0.4422,14,1.0000,29,0.5714,1,19588
10235.45,0.4422,14,1.0000,29,0.5714,1,26883
10235.45,0.4422,14,1.0000,28,0.4286,1,22556
10235.45,0.4422,14,1.0000,28,0.4286,1,22597
10235.45,0.4422,14,1.0000,26,0.1429,1,17998
10235.45,0.4422,14,1.0000,27,0.2857,1,21232
10235.45,0.4422,14,1.0000,27,0.2857,1,23096
10235.45,0.4422,14,1.0000,29,0.5714,1,20929
10235.45,0.4422,14,1.0000,29,0.5714,1,21797
10235.45,0.4422,14,1.0000,29,0.5714,1,22662
10235.45,0.4422,14,1.0000,30,0.7143,0,19774
10235.45,0.4422,14,1.0000,29,0.5714,0,18963
10235.45,0.4422,14,1.0000,29,0.5714,1,21446
10235.45,0.4422,14,1.0000,29,0.5714,1,20253
10235.45,0.4422,14,1.0000,29,0.5714,1,28517
10235.45,0.4422,14,1.0000,29,0.5714,1,26576
10235.45,0.4422,14,1.0000,28,0.4286,1,19630
