area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
2483.00,0.0000,5,0.0000,28,0.4286,1,4631
2483.00,0.0000,5,0.0000,30,0.7143,1,4638
2483.00,0.0000,5,0.0000,31,0.8571,0,4193
2483.00,0.0000,5,0.0000,32,1.0000,0,4483
2483.00,0.0000,5,0.0000,32,1.0000,0,4294
2483.00,0.0000,5,0.0000,30,0.7143,1,4447
2483.00,0.0000,5,0.0000,30,0.7143,1,4271
2483.00,0.0000,5,0.0000,30,0.7143,1,4412
2483.00,0.0000,5,0.0000,29,0.5714,1,4570
2483.00,0.0000,5,0.0000,29,0.5714,0,4559
2483.00,0.0000,5,0.0000,30,0.7143,1,4770
2483.00,0.0000,5,0.0000,25,0.0000,1,4721
2483.00,0.0000,5,0.0000,25,0.0000,1,4827
2483.00,0.0000,5,0.0000,28,0.4286,1,4862
2483.00,0.0000,5,0.0000,30,0.7143,1,4500
2483.00,0.0000,5,0.0000,31,0.8571,1,4888
2483.00,0.0000,5,0.0000,31,0.8571,1,4695
2483.00,0.0000,5,0.0000,30,0.7143,0,4922
2483.00,0.0000,5,0.0000,28,0.4286,1,4545
2483.00,0.0000,5,0.0000,27,0.2857,1,3737
2483.00,0.0000,5,0.0000,28,0.4286,1,3704
2483.00,0.0000,5,0.0000,31,0.8571,1,3440
2483.00,0.0000,5,0.0000,32,1.0000,1,3526
2483.00,0.0000,5,0.0000,32,1.0000,1,3239
2483.00,0.0000,5,0.0000,29,0.5714,0,3251
2483.00,0.0000,5,0.0000,29,0.5714,0,3217
2483.00,0.0000,5,0.0000,30,0.7143,1,3882
2483.00,0.0000,5,0.0000,29,0.5714,1,3435
2483.00,0.0000,5,0.0000,29,0.5714,1,3342
2483.00,0.0000,5,0.0000,29,0.5714,1,3486
2483.00,0.0000,5,0.0000,27,0.2857,1,3331
2483.00,0.0000,5,0.0000,27,0.2857,1,3418
2483.00,0.0000,5,0.0000,28,0.4286,1,3233
2483.00,0.0000,5,0.0000,30,0.7143,1,2888
2483.00,0.0000,5,0.0000,31,0.8571,1,3100
2483.00,0.0000,5,0.0000,30,0.7143,1,2895
2483.00,0.0000,5,0.0000,29,0.5714,0,3162
2483.00,0.0000,5,0.0000,29,0.5714,0,2862
2483.00,0.0000,5,0.0000,29,0.5714,1,3109
2483.00,0.0000,5,0.0000,29,0.5714,1,3113
2483.00,0.0000,5,0.0000,28,0.4286,1,3091
2483.00,0.0000,5,0.0000,28,0.4286,1,3310
2483.00,0.0000,5,0.0000,26,0.1429,1,3533
2483.00,0.0000,5,0.0000,27,0.2857,1,2872
2483.00,0.0000,5,0.0000,27,0.2857,1,3273
2483.00,0.0000,5,0.0000,29,0.5714,1,2850
2483.00,0.0000,5,0.0000,29,0.5714,1,3119
2483.00,0.0000,5,0.0000,28,0.4286,1,2096
2483.00,0.0000,5,0.0000,30,0.7143,1,2216
2483.00,0.0000,5,0.0000,31,0.8571,0,2036
2483.00,0.0000,5,0.0000,32,1.0000,0,2294
2483.00,0.0000,5,0.0000,32,1.0000,0,2517
2483.00,0.0000,5,0.0000,30,0.7143,1,2260
2483.00,0.0000,5,0.0000,30,0.7143,1,2314
2483.00,0.0000,5,0.0000,30,0.7143,1,2214
2483.00,0.0000,5,0.0000,29,0.5714,1,2252
2483.00,0.0000,5,0.0000,29,0.5714,0,2044
2483.00,0.0000,5,0.0000,30,0.7143,1,2118
2483.00,0.0000,5,0.0000,25,0.0000,1,1859
2483.00,0.0000,5,0.0000,25,0.0000,1,1841
2483.00,0.0000,5,0.0000,28,0.4286,1,1905
2483.00,0.0000,5,0.0000,30,0.7143,1,1990
2483.00,0.0000,5,0.0000,31,0.8571,1,2215
2483.00,0.0000,5,0.0000,31,0.8571,1,1733
2483.00,0.0000,5,0.0000,30,0.7143,0,1457
2483.00,0.0000,5,0.0000,29,0.5714,1,2129
2483.00,0.0000,5,0.0000,29,0.5714,1,2110
2483.00,0.0000,5,0.0000,29,0.5714,1,2078
2483.00,0.0000,5,0.0000,29,0.5714,1,1966
2483.00,0.0000,5,0.0000,27,0.2857,1,1695
2483.00,0.0000,5,0.0000,26,0.1429,1,1926
2483.00,0.0000,5,0.0000,28,0.4286,1,1879
2483.00,0.0000,5,0.0000,30,0.7143,1,1634
2483.00,0.0000,5,0.0000,30,0.7143,1,1864
2483.00,0.0000,5,0.0000,31,0.8571,1,1782
2483.00,0.0000,5,0.0000,30,0.7143,0,1832
2483.00,0.0000,5,0.0000,30,0.7143,0,1763
2483.00,0.0000,5,0.0000,30,0.7143,1,1763
2483.00,0.0000,5,0.0000,29,0.5714,1,1745
2483.00,0.0000,5,0.0000,29,0.5714,1,1219
2483.00,0.0000,5,0.0000,29,0.5714,1,1203
2483.00,0.0000,5,0.0000,28,0.4286,1,1157
2483.00,0.0000,5,0.0000,27,0.2857,1,1152
2483.00,0.0000,5,0.0000,28,0.4286,1,1165
2483.00,0.0000,5,0.0000,31,0.8571,1,1138
2483.00,0.0000,5,0.0000,32,1.0000,1,963
2483.00,0.0000,5,0.0000,32,1.0000,1,991
2483.00,0.0000,5,0.0000,29,0.5714,0,1093
2483.00,0.0000,5,0.0000,29,0.5714,0,1003
2483.00,0.0000,5,0.0000,30,0.7143,1,1005
2483.00,0.0000,5,0.0000,29,0.5714,1,1037
2483.00,0.0000,5,0.0000,29,0.5714,1,1005
2483.00,0.0000,5,0.0000,29,0.5714,1,1105
2483.00,0.0000,5,0.0000,27,0.2857,1,1076
2483.00,0.0000,5,0.0000,27,0.2857,1,1093
2483.00,0.0000,5,0.0000,28,0.4286,1,1024
2483.00,0.0000,5,0.0000,30,0.7143,1,882
2483.00,0.0000,5,0.0000,31,0.8571,1,1019
2483.00,0.0000,5,0.0000,30,0.7143,1,1020
2483.00,0.0000,5,0.0000,29,0.5714,0,1105
2483.00,0.0000,5,0.0000,29,0.5714,0,1072
2483.00,0.0000,5,0.0000,29,0.5714,1,1106
2483.00,0.0000,5,0.0000,29,0.5714,1,1015
2483.00,0.0000,5,0.0000,28,0.4286,1,946
2483.00,0.0000,5,0.0000,28,0.4286,1,942
2483.00,0.0000,5,0.0000,26,0.1429,1,910
2483.00,0.0000,5,0.0000,27,0.2857,1,960
2483.00,0.0000,5,0.0000,27,0.2857,1,947
2483.00,0.0000,5,0.0000,29,0.5714,1,985
2483.00,0.0000,5,0.0000,29,0.5714,1,1219
2483.00,0.0000,5,0.0000,28,0.4286,1,1148
2483.00,0.0000,5,0.0000,30,0.7143,1,968
2483.00,0.0000,5,0.0000,31,0.8571,0,900
2483.00,0.0000,5,0.0000,32,1.0000,0,857
2483.00,0.0000,5,0.0000,32,1.0000,0,752
2483.00,0.0000,5,0.0000,30,0.7143,1,944
2483.00,0.0000,5,0.0000,30,0.7143,1,964
2483.00,0.0000,5,0.0000,30,0.7143,1,873
2483.00,0.0000,5,0.0000,29,0.5714,1,975
2483.00,0.0000,5,0.0000,29,0.5714,0,995
2483.00,0.0000,5,0.0000,30,0.7143,1,1008
2483.00,0.0000,5,0.0000,25,0.0000,1,1039
2483.00,0.0000,5,0.0000,25,0.0000,1,1222
2483.00,0.0000,5,0.0000,28,0.4286,1,1071
2483.00,0.0000,5,0.0000,30,0.7143,1,873
2483.00,0.0000,5,0.0000,31,0.8571,1,873
2483.00,0.0000,5,0.0000,31,0.8571,1,955
2483.00,0.0000,5,0.0000,30,0.7143,0,1105
2483.00,0.0000,5,0.0000,30,0.7143,0,2785
2483.00,0.0000,5,0.0000,29,0.5714,1,1122
2483.00,0.0000,5,0.0000,29,0.5714,1,1129
2483.00,0.0000,5,0.0000,29,0.5714,1,1105
2483.00,0.0000,5,0.0000,29,0.5714,1,1144
2483.00,0.0000,5,0.0000,27,0.2857,1,1115
2483.00,0.0000,5,0.0000,26,0.1429,1,1189
2483.00,0.0000,5,0.0000,28,0.4286,1,1179
2483.00,0.0000,5,0.0000,30,0.7143,1,974
2483.00,0.0000,5,0.0000,30,0.7143,1,1064
2483.00,0.0000,5,0.0000,31,0.8571,1,1041
2483.00,0.0000,5,0.0000,30,0.7143,0,1065
2483.00,0.0000,5,0.0000,30,0.7143,0,1026
2483.00,0.0000,5,0.0000,30,0.7143,1,1026
2483.00,0.0000,5,0.0000,29,0.5714,1,1132
2483.00,0.0000,5,0.0000,29,0.5714,1,1135
2483.00,0.0000,5,0.0000,29,0.5714,1,1122
2483.00,0.0000,5,0.0000,28,0.4286,1,1142
2483.00,0.0000,5,0.0000,27,0.2857,1,1174
2483.00,0.0000,5,0.0000,28,0.4286,1,1192
2483.00,0.0000,5,0.0000,31,0.8571,1,1077
2483.00,0.0000,5,0.0000,32,1.0000,1,1087
2483.00,0.0000,5,0.0000,32,1.0000,1,1008
2483.00,0.0000,5,0.0000,29,0.5714,0,1104
2483.00,0.0000,5,0.0000,29,0.5714,0,1071
2483.00,0.0000,5,0.0000,30,0.7143,1,1048
2483.00,0.0000,5,0.0000,29,0.5714,1,1142
2483.00,0.0000,5,0.0000,29,0.5714,1,1131
2483.00,0.0000,5,0.0000,29,0.5714,1,1141
2483.00,0.0000,5,0.0000,27,0.2857,1,1110
2483.00,0.0000,5,0.0000,27,0.2857,1,1118
2483.00,0.0000,5,0.0000,28,0.4286,1,1108
2483.00,0.0000,5,0.0000,30,0.7143,1,974
2483.00,0.0000,5,0.0000,31,0.8571,1,1066
2483.00,0.0000,5,0.0000,30,0.7143,1,1055
2483.00,0.0000,5,0.0000,29,0.5714,0,1106
2483.00,0.0000,5,0.0000,29,0.5714,0,1054
2483.00,0.0000,5,0.0000,29,0.5714,1,991
2483.00,0.0000,5,0.0000,29,0.5714,1,1110
2483.00,0.0000,5,0.0000,28,0.4286,1,1011
