month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
1,2556,30000,0.1655,5762.33,0.4198,7,0.3846,28,0.4286,1
2,2556,28000,0.1539,5762.33,0.4198,7,0.3846,30,0.7143,1
3,2556,36000,0.2003,5762.33,0.4198,7,0.3846,31,0.8571,0
4,2556,30000,0.1655,5762.33,0.4198,7,0.3846,32,1.0000,0
5,2556,39000,0.2177,5762.33,0.4198,7,0.3846,32,1.0000,0
6,2556,31000,0.1713,5762.33,0.4198,7,0.3846,30,0.7143,1
7,2556,31000,0.1713,5762.33,0.4198,7,0.3846,30,0.7143,1
8,2556,34000,0.1887,5762.33,0.4198,7,0.3846,30,0.7143,1
9,2556,28000,0.1539,5762.33,0.4198,7,0.3846,29,0.5714,1
10,2556,30000,0.1655,5762.33,0.4198,7,0.3846,29,0.5714,0
11,2556,34000,0.1887,5762.33,0.4198,7,0.3846,30,0.7143,1
12,2556,26000,0.1423,5762.33,0.4198,7,0.3846,25,0.0000,1
1,2557,25000,0.1365,5762.33,0.4198,7,0.3846,25,0.0000,1
2,2557,28000,0.1539,5762.33,0.4198,7,0.3846,28,0.4286,1
3,2557,37000,0.2061,5762.33,0.4198,7,0.3846,30,0.7143,1
4,2557,39000,0.2177,5762.33,0.4198,7,0.3846,31,0.8571,1
5,2557,40000,0.2235,5762.33,0.4198,7,0.3846,31,0.8571,1
6,2557,39000,0.2177,5762.33,0.4198,7,0.3846,30,0.7143,0
7,2557,38000,0.2119,5762.33,0.4198,7,0.3846,30,0.7143,0
8,2557,38000,0.2119,5762.33,0.4198,7,0.3846,29,0.5714,1
9,2557,37000,0.2061,5762.33,0.4198,7,0.3846,29,0.5714,1
10,2557,33511,0.1859,5762.33,0.4198,7,0.3846,29,0.5714,1
11,2557,35000,0.1945,5762.33,0.4198,7,0.3846,29,0.5714,1
12,2557,29000,0.1597,5762.33,0.4198,7,0.3846,27,0.2857,1
1,2558,27000,0.1481,5762.33,0.4198,7,0.3846,26,0.1429,1
2,2558,30000,0.1655,5762.33,0.4198,7,0.3846,28,0.4286,1
3,2558,36000,0.2003,5762.33,0.4198,7,0.3846,30,0.7143,1
4,2558,34000,0.1887,5762.33,0.4198,7,0.3846,30,0.7143,1
5,2558,39000,0.2177,5762.33,0.4198,7,0.3846,31,0.8571,1
6,2558,34000,0.1887,5762.33,0.4198,7,0.3846,30,0.7143,0
7,2558,38000,0.2119,5762.33,0.4198,7,0.3846,30,0.7143,0
8,2558,33000,0.1829,5762.33,0.4198,7,0.3846,30,0.7143,1
9,2558,32000,0.1771,5762.33,0.4198,7,0.3846,29,0.5714,1
10,2558,33000,0.1829,5762.33,0.4198,7,0.3846,29,0.5714,1
11,2558,33000,0.1829,5762.33,0.4198,7,0.3846,29,0.5714,1
12,2558,31000,0.1713,5762.33,0.4198,7,0.3846,28,0.4286,1
1,2559,29000,0.1597,5762.33,0.4198,7,0.3846,27,0.2857,1
2,2559,29000,0.1597,5762.33,0.4198,7,0.3846,28,0.4286,1
3,2559,31000,0.1713,5762.33,0.4198,7,0.3846,31,0.8571,1
4,2559,29000,0.1597,5762.33,0.4198,7,0.3846,32,1.0000,1
