area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
5762.33,0.4774,7,1.0000,25,0.0000,1,25000
5762.33,0.4774,7,1.0000,29,0.5714,1,24000
5762.33,0.4774,7,1.0000,29,0.5714,1,25000
5762.33,0.4774,7,1.0000,27,0.2857,1,22000
5762.33,0.4774,7,1.0000,27,0.2857,1,21000
5762.33,0.4774,7,1.0000,28,0.4286,1,21000
5762.33,0.4774,7,1.0000,29,0.5714,0,24000
5762.33,0.4774,7,1.0000,29,0.5714,1,25000
5762.33,0.4774,7,1.0000,28,0.4286,1,22000
5762.33,0.4774,7,1.0000,28,0.4286,1,24000
5762.33,0.4774,7,1.0000,26,0.1429,1,21000
5762.33,0.4774,7,1.0000,27,0.2857,1,21000
5762.33,0.4774,7,1.0000,27,0.2857,1,20000
5762.33,0.4774,7,1.0000,29,0.5714,1,24000
2123.23,0.1140,3,0.2000,28,0.4286,1,12657
2123.23,0.1140,3,0.2000,30,0.7143,1,13258
2123.23,0.1140,3,0.2000,31,0.8571,0,10399
2123.23,0.1140,3,0.2000,32,1.0000,0,9948
2123.23,0.1140,3,0.2000,32,1.0000,0,11063
2123.23,0.1140,3,0.2000,30,0.7143,1,13225
2123.23,0.1140,3,0.2000,30,0.7143,1,13317
2123.23,0.1140,3,0.2000,30,0.7143,1,12896
2123.23,0.1140,3,0.2000,29,0.5714,1,11146
2123.23,0.1140,3,0.2000,29,0.5714,0,9778
2123.23,0.1140,3,0.2000,30,0.7143,1,11518
2123.23,0.1140,3,0.2000,25,0.0000,1,6850
2123.23,0.1140,3,0.2000,25,0.0000,1,7398
2123.23,0.1140,3,0.2000,28,0.4286,1,9552
2123.23,0.1140,3,0.2000,30,0.7143,1,10206
2123.23,0.1140,3,0.2000,31,0.8571,1,9131
2123.23,0.1140,3,0.2000,31,0.8571,1,9487
2123.23,0.1140,3,0.2000,30,0.7143,0,10706
2123.23,0.1140,3,0.2000,30,0.7143,0,11575
2123.23,0.1140,3,0.2000,29,0.5714,1,11958
2123.23,0.1140,3,0.2000,29,0.5714,1,14222
2123.23,0.1140,3,0.2000,29,0.5714,1,13118
2123.23,0.1140,3,0.2000,29,0.5714,1,12683
2123.23,0.1140,3,0.2000,27,0.2857,1,9605
2123.23,0.1140,3,0.2000,26,0.1429,1,8847
2123.23,0.1140,3,0.2000,28,0.4286,1,10855
2123.23,0.1140,3,0.2000,30,0.7143,1,14042
2123.23,0.1140,3,0.2000,30,0.7143,1,14659
2123.23,0.1140,3,0.2000,31,0.8571,1,15113
2123.23,0.1140,3,0.2000,30,0.7143,0,12525
2123.23,0.1140,3,0.2000,30,0.7143,0,11808
2123.23,0.1140,3,0.2000,30,0.7143,1,14588
2123.23,0.1140,3,0.2000,29,0.5714,1,14518
2123.23,0.1140,3,0.2000,29,0.5714,1,14185
2123.23,0.1140,3,0.2000,29,0.5714,1,15062
2123.23,0.1140,3,0.2000,28,0.4286,1,12183
2123.23,0.1140,3,0.2000,27,0.2857,1,11740
2123.23,0.1140,3,0.2000,28,0.4286,1,11517
2123.23,0.1140,3,0.2000,31,0.8571,1,16134
2123.23,0.1140,3,0.2000,32,1.0000,1,17780
2123.23,0.1140,3,0.2000,32,1.0000,1,14118
2123.23,0.1140,3,0.2000,29,0.5714,0,12128
2123.23,0.1140,3,0.2000,29,0.5714,0,11662
2123.23,0.1140,3,0.2000,30,0.7143,1,15423
2123.23,0.1140,3,0.2000,29,0.5714,1,15820
2123.23,0.1140,3,0.2000,29,0.5714,1,14841
2123.23,0.1140,3,0.2000,29,0.5714,1,15733
2123.23,0.1140,3,0.2000,27,0.2857,1,12173
2123.23,0.1140,3,0.2000,27,0.2857,1,13021
2123.23,0.1140,3,0.2000,28,0.4286,1,12246
2123.23,0.1140,3,0.2000,30,0.7143,1,15235
2123.23,0.1140,3,0.2000,31,0.8571,1,14134
2123.23,0.1140,3,0.2000,30,0.7143,1,14119
2123.23,0.1140,3,0.2000,29,0.5714,0,14119
2123.23,0.1140,3,0.2000,29,0.5714,0,15645
2123.23,0.1140,3,0.2000,29,0.5714,1,17008
2123.23,0.1140,3,0.2000,29,0.5714,1,15536
2123.23,0.1140,3,0.2000,28,0.4286,1,14215
2123.23,0.1140,3,0.2000,28,0.4286,1,14730
2123.23,0.1140,3,0.2000,26,0.1429,1,14730
2123.23,0.1140,3,0.2000,27,0.2857,1,11302
2123.23,0.1140,3,0.2000,27,0.2857,1,12265
2123.23,0.1140,3,0.2000,29,0.5714,1,16433
2123.23,0.1140,3,0.2000,29,0.5714,1,14261
2123.23,0.1140,3,0.2000,29,0.5714,1,14711
2123.23,0.1140,3,0.2000,30,0.7143,0,12232
2123.23,0.1140,3,0.2000,29,0.5714,0,12672
2123.23,0.1140,3,0.2000,29,0.5714,1,12873
2123.23,0.1140,3,0.2000,29,0.5714,1,13013
2123.23,0.1140,3,0.2000,29,0.5714,1,13767
2123.23,0.1140,3,0.2000,29,0.5714,1,14257
2123.23,0.1140,3,0.2000,28,0.4286,1,10596
3114.01,0.2129,3,0.2000,28,0.4286,1,9180
3114.01,0.2129,3,0.2000,30,0.7143,1,9120
3114.01,0.2129,3,0.2000,31,0.8571,0,10860
3114.01,0.2129,3,0.2000,32,1.0000,0,6180
3114.01,0.2129,3,0.2000,32,1.0000,0,7080
3114.01,0.2129,3,0.2000,30,0.7143,1,11880
3114.01,0.2129,3,0.2000,30,0.7143,1,9360
3114.01,0.2129,3,0.2000,30,0.7143,1,10980
3114.01,0.2129,3,0.2000,29,0.5714,1,8940
3114.01,0.2129,3,0.2000,29,0.5714,0,8460
3114.01,0.2129,3,0.2000,30,0.7143,1,6300
3114.01,0.2129,3,0.2000,25,0.0000,1,3780
3114.01,0.2129,3,0.2000,30,0.7143,0,2400
3114.01,0.2129,3,0.2000,30,0.7143,0,2340
3114.01,0.2129,3,0.2000,29,0.5714,1,3480
3114.01,0.2129,3,0.2000,29,0.5714,1,3300
3114.01,0.2129,3,0.2000,29,0.5714,1,3660
3114.01,0.2129,3,0.2000,29,0.5714,1,3600
3114.01,0.2129,3,0.2000,27,0.2857,1,2040
3114.01,0.2129,3,0.2000,26,0.1429,1,2640
3114.01,0.2129,3,0.2000,28,0.4286,1,3540
3114.01,0.2129,3,0.2000,30,0.7143,1,3240
3114.01,0.2129,3,0.2000,30,0.7143,1,3420
3114.01,0.2129,3,0.2000,31,0.8571,1,3240
