area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
12368.47,1.0000,15,1.0000,28,0.4286,1,115460
12368.47,1.0000,15,1.0000,30,0.7143,1,106080
12368.47,1.0000,15,1.0000,31,0.8571,0,108040
12368.47,1.0000,15,1.0000,32,1.0000,0,127600
12368.47,1.0000,15,1.0000,32,1.0000,0,112580
12368.47,1.0000,15,1.0000,30,0.7143,1,104220
12368.47,1.0000,15,1.0000,30,0.7143,1,100480
12368.47,1.0000,15,1.0000,30,0.7143,1,120560
12368.47,1.0000,15,1.0000,29,0.5714,1,112940
12368.47,1.0000,15,1.0000,29,0.5714,0,129280
12368.47,1.0000,15,1.0000,30,0.7143,1,94620
12368.47,1.0000,15,1.0000,25,0.0000,1,82400
12368.47,1.0000,15,1.0000,28,0.4286,1,81580
12368.47,1.0000,15,1.0000,30,0.7143,1,109180
12368.47,1.0000,15,1.0000,31,0.8571,1,93000
12368.47,1.0000,15,1.0000,31,0.8571,1,92520
12368.47,1.0000,15,1.0000,30,0.7143,0,123260
12368.47,1.0000,15,1.0000,30,0.7143,0,84820
12368.47,1.0000,15,1.0000,29,0.5714,1,96860
12368.47,1.0000,15,1.0000,29,0.5714,1,114480
12368.47,1.0000,15,1.0000,29,0.5714,1,86280
12368.47,1.0000,15,1.0000,29,0.5714,1,89340
12368.47,1.0000,15,1.0000,27,0.2857,1,79960
12368.47,1.0000,15,1.0000,28,0.4286,1,98840
12368.47,1.0000,15,1.0000,30,0.7143,1,95520
12368.47,1.0000,15,1.0000,30,0.7143,1,90140
12368.47,1.0000,15,1.0000,31,0.8571,1,85900
12368.47,1.0000,15,1.0000,30,0.7143,0,101180
12368.47,1.0000,15,1.0000,30,0.7143,0,86780
12368.47,1.0000,15,1.0000,30,0.7143,1,94570
12368.47,1.0000,15,1.0000,29,0.5714,1,102630
12368.47,1.0000,15,1.0000,29,0.5714,1,80900
12368.47,1.0000,15,1.0000,29,0.5714,1,92030
12368.47,1.0000,15,1.0000,28,0.4286,1,91940
12368.47,1.0000,15,1.0000,27,0.2857,1,86788
12368.47,1.0000,15,1.0000,31,0.8571,1,122633
12368.47,1.0000,15,1.0000,32,1.0000,1,110063
12368.47,1.0000,15,1.0000,32,1.0000,1,95565
12368.47,1.0000,15,1.0000,29,0.5714,0,97844
12368.47,1.0000,15,1.0000,29,0.5714,0,96932
12368.47,1.0000,15,1.0000,30,0.7143,1,89633
12368.47,1.0000,15,1.0000,29,0.5714,1,100376
12368.47,1.0000,15,1.0000,29,0.5714,1,81816
12368.47,1.0000,15,1.0000,27,0.2857,1,93703
12368.47,1.0000,15,1.0000,27,0.2857,1,89469
12368.47,1.0000,15,1.0000,28,0.4286,1,85273
12368.47,1.0000,15,1.0000,30,0.7143,1,96734
12368.47,1.0000,15,1.0000,31,0.8571,1,106117
12368.47,1.0000,15,1.0000,30,0.7143,1,95872
12368.47,1.0000,15,1.0000,29,0.5714,0,91885
12368.47,1.0000,15,1.0000,29,0.5714,0,86950
12368.47,1.0000,15,1.0000,29,0.5714,1,110829
12368.47,1.0000,15,1.0000,29,0.5714,1,88445
12368.47,1.0000,15,1.0000,28,0.4286,1,107192
12368.47,1.0000,15,1.0000,28,0.4286,1,91458
12368.47,1.0000,15,1.0000,26,0.1429,1,75023
12368.47,1.0000,15,1.0000,27,0.2857,1,76131
12368.47,1.0000,15,1.0000,27,0.2857,1,83081
12368.47,1.0000,15,1.0000,29,0.5714,1,93292
12368.47,1.0000,15,1.0000,29,0.5714,1,79160
12368.47,1.0000,15,1.0000,29,0.5714,1,100369
12368.47,1.0000,15,1.0000,30,0.7143,0,76637
12368.47,1.0000,15,1.0000,29,0.5714,0,95516
12368.47,1.0000,15,1.0000,29,0.5714,1,87971
12368.47,1.0000,15,1.0000,29,0.5714,1,82444
12368.47,1.0000,15,1.0000,29,0.5714,1,89823
7274.89,0.2730,7,0.3846,28,0.4286,1,107000
