month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,20594,4028.20,3,26,30,28,1
2,2556,19972,4028.20,3,28,32,30,1
3,2556,17621,4028.20,3,24,34,31,0
4,2556,16953,4028.20,3,29,34,32,0
5,2556,17209,4028.20,3,30,34,32,0
6,2556,15010,4028.20,3,28,32,30,1
7,2556,25250,4028.20,3,28,32,30,1
8,2556,24699,4028.20,3,28,31,30,1
9,2556,25139,4028.20,3,24,32,29,1
10,2556,16444,4028.20,3,26,31,29,0
11,2556,19730,4028.20,3,26,31,30,1
12,2556,19237,4028.20,3,21,30,25,1
1,2557,14211,4028.20,3,21,28,25,1
2,2557,18517,4028.20,3,24,29,28,1
3,2557,20750,4028.20,3,27,32,30,1
4,2557,16944,4028.20,3,29,33,31,1
5,2557,18060,4028.20,3,29,33,31,1
6,2557,17386,4028.20,3,28,32,30,0
7,2557,14862,4028.20,3,27,32,30,0
8,2557,11753,4028.20,3,27,31,29,1
9,2557,27162,4028.20,3,28,31,29,1
10,2557,27577,4028.20,3,27,29,29,1
11,2557,27095,4028.20,3,26,31,29,1
12,2557,21109,4028.20,3,24,29,27,1
1,2558,13846,4028.20,3,23,29,26,1
2,2558,22856,4028.20,3,26,31,28,1
3,2558,25554,4028.20,3,27,31,30,1
4,2558,26472,4028.20,3,27,33,30,1
5,2558,25905,4028.20,3,29,32,31,1
6,2558,14882,4028.20,3,29,33,30,0
7,2558,20484,4028.20,3,28,32,30,0
8,2558,13374,4028.20,3,27,32,30,1
9,2558,30993,4028.20,3,26,31,29,1
10,2558,30099,4028.20,3,27,30,29,1
11,2558,26592,4028.20,3,28,31,29,1
12,2558,26811,4028.20,3,24,31,28,1
1,2559,13947,4028.20,3,18,31,27,1
2,2559,23362,4028.20,3,20,30,28,1
3,2559,33907,4028.20,3,27,33,31,1
4,2559,33548,4028.20,3,29,34,32,1
5,2559,34740,4028.20,3,29,34,32,1
6,2559,18878,4028.20,3,27,32,29,0
7,2559,23878,4028.20,3,28,31,29,0
8,2559,23152,4028.20,3,29,31,30,1
9,2559,34749,4028.20,3,27,31,29,1
10,2559,27343,4028.20,3,27,30,29,1
