month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
1,2556,20594,0.0406,4028.20,0.0712,3,0.1111,28,0.4286,1
2,2556,19972,0.0393,4028.20,0.0712,3,0.1111,30,0.7143,1
3,2556,17621,0.0347,4028.20,0.0712,3,0.1111,31,0.8571,0
4,2556,16953,0.0334,4028.20,0.0712,3,0.1111,32,1.0000,0
5,2556,17209,0.0339,4028.20,0.0712,3,0.1111,32,1.0000,0
6,2556,15010,0.0295,4028.20,0.0712,3,0.1111,30,0.7143,1
7,2556,25250,0.0498,4028.20,0.0712,3,0.1111,30,0.7143,1
8,2556,24699,0.0487,4028.20,0.0712,3,0.1111,30,0.7143,1
9,2556,25139,0.0495,4028.20,0.0712,3,0.1111,29,0.5714,1
10,2556,16444,0.0324,4028.20,0.0712,3,0.1111,29,0.5714,0
11,2556,19730,0.0389,4028.20,0.0712,3,0.1111,30,0.7143,1
12,2556,19237,0.0379,4028.20,0.0712,3,0.1111,25,0.0000,1
1,2557,14211,0.0280,4028.20,0.0712,3,0.1111,25,0.0000,1
2,2557,18517,0.0365,4028.20,0.0712,3,0.1111,28,0.4286,1
3,2557,20750,0.0409,4028.20,0.0712,3,0.1111,30,0.7143,1
4,2557,16944,0.0334,4028.20,0.0712,3,0.1111,31,0.8571,1
5,2557,18060,0.0356,4028.20,0.0712,3,0.1111,31,0.8571,1
6,2557,17386,0.0342,4028.20,0.0712,3,0.1111,30,0.7143,0
7,2557,14862,0.0292,4028.20,0.0712,3,0.1111,30,0.7143,0
8,2557,11753,0.0231,4028.20,0.0712,3,0.1111,29,0.5714,1
9,2557,27162,0.0535,4028.20,0.0712,3,0.1111,29,0.5714,1
10,2557,27577,0.0544,4028.20,0.0712,3,0.1111,29,0.5714,1
11,2557,27095,0.0534,4028.20,0.0712,3,0.1111,29,0.5714,1
12,2557,21109,0.0416,4028.20,0.0712,3,0.1111,27,0.2857,1
1,2558,13846,0.0272,4028.20,0.0712,3,0.1111,26,0.1429,1
2,2558,22856,0.0450,4028.20,0.0712,3,0.1111,28,0.4286,1
3,2558,25554,0.0504,4028.20,0.0712,3,0.1111,30,0.7143,1
4,2558,26472,0.0522,4028.20,0.0712,3,0.1111,30,0.7143,1
5,2558,25905,0.0511,4028.20,0.0712,3,0.1111,31,0.8571,1
6,2558,14882,0.0293,4028.20,0.0712,3,0.1111,30,0.7143,0
7,2558,20484,0.0403,4028.20,0.0712,3,0.1111,30,0.7143,0
8,2558,13374,0.0263,4028.20,0.0712,3,0.1111,30,0.7143,1
9,2558,30993,0.0611,4028.20,0.0712,3,0.1111,29,0.5714,1
10,2558,30099,0.0593,4028.20,0.0712,3,0.1111,29,0.5714,1
11,2558,26592,0.0524,4028.20,0.0712,3,0.1111,29,0.5714,1
12,2558,26811,0.0528,4028.20,0.0712,3,0.1111,28,0.4286,1
1,2559,13947,0.0274,4028.20,0.0712,3,0.1111,27,0.2857,1
2,2559,23362,0.0460,4028.20,0.0712,3,0.1111,28,0.4286,1
3,2559,33907,0.0669,4028.20,0.0712,3,0.1111,31,0.8571,1
4,2559,33548,0.0661,4028.20,0.0712,3,0.1111,32,1.0000,1
5,2559,34740,0.0685,4028.20,0.0712,3,0.1111,32,1.0000,1
6,2559,18878,0.0372,4028.20,0.0712,3,0.1111,29,0.5714,0
7,2559,23878,0.0470,4028.20,0.0712,3,0.1111,29,0.5714,0
8,2559,23152,0.0456,4028.20,0.0712,3,0.1111,30,0.7143,1
9,2559,34749,0.0685,4028.20,0.0712,3,0.1111,29,0.5714,1
10,2559,27343,0.0539,4028.20,0.0712,3,0.1111,29,0.5714,1
11,2559,28489,0.0562,4028.20,0.0712,3,0.1111,29,0.5714,1
12,2559,26327,0.0519,4028.20,0.0712,3,0.1111,27,0.2857,1
1,2560,14102,0.0277,4028.20,0.0712,3,0.1111,27,0.2857,1
2,2560,24763,0.0488,4028.20,0.0712,3,0.1111,28,0.4286,1
3,2560,32267,0.0636,4028.20,0.0712,3,0.1111,30,0.7143,1
4,2560,32351,0.0638,4028.20,0.0712,3,0.1111,31,0.8571,1
5,2560,33710,0.0665,4028.20,0.0712,3,0.1111,30,0.7143,1
6,2560,21359,0.0421,4028.20,0.0712,3,0.1111,29,0.5714,0
7,2560,28568,0.0563,4028.20,0.0712,3,0.1111,29,0.5714,0
8,2560,26975,0.0532,4028.20,0.0712,3,0.1111,29,0.5714,1
9,2560,33487,0.0660,4028.20,0.0712,3,0.1111,29,0.5714,1
10,2560,27767,0.0547,4028.20,0.0712,3,0.1111,28,0.4286,1
11,2560,24504,0.0483,4028.20,0.0712,3,0.1111,28,0.4286,1
12,2560,21364,0.0421,4028.20,0.0712,3,0.1111,26,0.1429,1
1,2561,17497,0.0344,4028.20,0.0712,3,0.1111,27,0.2857,1
2,2561,24259,0.0478,4028.20,0.0712,3,0.1111,27,0.2857,1
3,2561,28469,0.0561,4028.20,0.0712,3,0.1111,29,0.5714,1
4,2561,26340,0.0519,4028.20,0.0712,3,0.1111,29,0.5714,1
1,2556,95000,0.1875,1949.16,0.0289,4,0.1667,28,0.4286,1
2,2556,115000,0.2270,1949.16,0.0289,4,0.1667,30,0.7143,1
3,2556,78000,0.1539,1949.16,0.0289,4,0.1667,31,0.8571,0
4,2556,71000,0.1401,1949.16,0.0289,4,0.1667,32,1.0000,0
5,2556,73000,0.1441,1949.16,0.0289,4,0.1667,32,1.0000,0
6,2556,80000,0.1579,1949.16,0.0289,4,0.1667,30,0.7143,1
7,2556,130000,0.2566,1949.16,0.0289,4,0.1667,30,0.7143,1
8,2556,109000,0.2152,1949.16,0.0289,4,0.1667,30,0.7143,1
9,2556,131000,0.2586,1949.16,0.0289,4,0.1667,29,0.5714,1
10,2556,78000,0.1539,1949.16,0.0289,4,0.1667,29,0.5714,0
11,2556,85000,0.1678,1949.16,0.0289,4,0.1667,30,0.7143,1
12,2556,84000,0.1658,1949.16,0.0289,4,0.1667,25,0.0000,1
1,2557,63000,0.1243,1949.16,0.0289,4,0.1667,25,0.0000,1
2,2557,85000,0.1678,1949.16,0.0289,4,0.1667,28,0.4286,1
3,2557,96000,0.1895,1949.16,0.0289,4,0.1667,30,0.7143,1
4,2557,70000,0.1381,1949.16,0.0289,4,0.1667,31,0.8571,1
5,2557,65000,0.1283,1949.16,0.0289,4,0.1667,31,0.8571,1
6,2557,50000,0.0986,1949.16,0.0289,4,0.1667,30,0.7143,0
7,2557,47000,0.0927,1949.16,0.0289,4,0.1667,30,0.7143,0
8,2557,47000,0.0927,1949.16,0.0289,4,0.1667,29,0.5714,1
9,2557,128000,0.2527,1949.16,0.0289,4,0.1667,29,0.5714,1
10,2557,113000,0.2231,1949.16,0.0289,4,0.1667,29,0.5714,1
11,2557,116000,0.2290,1949.16,0.0289,4,0.1667,29,0.5714,1
12,2557,87000,0.1717,1949.16,0.0289,4,0.1667,27,0.2857,1
1,2558,51000,0.1006,1949.16,0.0289,4,0.1667,26,0.1429,1
2,2558,107000,0.2112,1949.16,0.0289,4,0.1667,28,0.4286,1
3,2558,113000,0.2231,1949.16,0.0289,4,0.1667,30,0.7143,1
4,2558,115000,0.2270,1949.16,0.0289,4,0.1667,30,0.7143,1
5,2558,116000,0.2290,1949.16,0.0289,4,0.1667,31,0.8571,1
6,2558,63000,0.1243,1949.16,0.0289,4,0.1667,30,0.7143,0
7,2558,91000,0.1796,1949.16,0.0289,4,0.1667,30,0.7143,0
8,2558,61000,0.1204,1949.16,0.0289,4,0.1667,30,0.7143,1
9,2558,144000,0.2843,1949.16,0.0289,4,0.1667,29,0.5714,1
10,2558,129000,0.2547,1949.16,0.0289,4,0.1667,29,0.5714,1
11,2558,118000,0.2329,1949.16,0.0289,4,0.1667,29,0.5714,1
12,2558,116000,0.2290,1949.16,0.0289,4,0.1667,28,0.4286,1
1,2559,56000,0.1105,1949.16,0.0289,4,0.1667,27,0.2857,1
