month,year,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
,,4028.20,0.1796,3,0.1429,29,0.5714,1,30993
,,4028.20,0.1796,3,0.1429,29,0.5714,1,30099
,,4028.20,0.1796,3,0.1429,31,0.8571,1,33907
,,4028.20,0.1796,3,0.1429,32,1.0000,1,33548
,,4028.20,0.1796,3,0.1429,32,1.0000,1,34740
,,4028.20,0.1796,3,0.1429,29,0.5714,1,34749
,,4028.20,0.1796,3,0.1429,30,0.7143,1,32267
,,4028.20,0.1796,3,0.1429,31,0.8571,1,32351
,,4028.20,0.1796,3,0.1429,30,0.7143,1,33710
,,4028.20,0.1796,3,0.1429,29,0.5714,1,33487
,,1949.16,0.0728,4,0.2143,31,0.8571,0,78000
,,1949.16,0.0728,4,0.2143,32,1.0000,0,71000
,,1949.16,0.0728,4,0.2143,32,1.0000,0,73000
,,1949.16,0.0728,4,0.2143,30,0.7143,1,80000
,,1949.16,0.0728,4,0.2143,29,0.5714,0,78000
,,1949.16,0.0728,4,0.2143,30,0.7143,1,85000
,,1949.16,0.0728,4,0.2143,25,0.0000,1,84000
,,1949.16,0.0728,4,0.2143,25,0.0000,1,63000
,,1949.16,0.0728,4,0.2143,28,0.4286,1,85000
,,1949.16,0.0728,4,0.2143,31,0.8571,1,70000
,,1949.16,0.0728,4,0.2143,31,0.8571,1,65000
,,1949.16,0.0728,4,0.2143,30,0.7143,0,50000
,,1949.16,0.0728,4,0.2143,30,0.7143,0,47000
,,1949.16,0.0728,4,0.2143,29,0.5714,1,47000
,,1949.16,0.0728,4,0.2143,27,0.2857,1,87000
,,1949.16,0.0728,4,0.2143,26,0.1429,1,51000
,,1949.16,0.0728,4,0.2143,30,0.7143,0,63000
,,1949.16,0.0728,4,0.2143,30,0.7143,1,61000
,,1949.16,0.0728,4,0.2143,27,0.2857,1,56000
,,1949.16,0.0728,4,0.2143,29,0.5714,0,77000
,,1949.16,0.0728,4,0.2143,29,0.5714,0,88000
,,1949.16,0.0728,4,0.2143,27,0.2857,1,58000
,,1949.16,0.0728,4,0.2143,29,0.5714,0,82000
,,1949.16,0.0728,4,0.2143,27,0.2857,1,69000
,,6956.23,0.3300,10,0.6429,26,0.1429,1,34000
,,6956.23,0.3300,10,0.6429,28,0.4286,1,38000
,,6956.23,0.3300,10,0.6429,30,0.7143,1,42000
,,6956.23,0.3300,10,0.6429,30,0.7143,1,38000
,,6956.23,0.3300,10,0.6429,30,0.7143,1,50000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,33000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,32000
,,6956.23,0.3300,10,0.6429,28,0.4286,1,45000
,,6956.23,0.3300,10,0.6429,31,0.8571,1,39000
,,6956.23,0.3300,10,0.6429,32,1.0000,1,49000
,,6956.23,0.3300,10,0.6429,29,0.5714,0,32000
,,6956.23,0.3300,10,0.6429,30,0.7143,1,44000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,32000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,35000
,,6956.23,0.3300,10,0.6429,28,0.4286,1,40000
,,6956.23,0.3300,10,0.6429,30,0.7143,1,35000
,,6956.23,0.3300,10,0.6429,31,0.8571,1,41000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,49000
,,6956.23,0.3300,10,0.6429,29,0.5714,1,39000
,,3389.75,0.1468,5,0.2857,26,0.1429,1,31800
,,3389.75,0.1468,5,0.2857,28,0.4286,1,36600
,,3389.75,0.1468,5,0.2857,30,0.7143,1,39600
,,3389.75,0.1468,5,0.2857,30,0.7143,1,39000
,,3389.75,0.1468,5,0.2857,31,0.8571,1,40800
,,3389.75,0.1468,5,0.2857,30,0.7143,0,35400
,,3389.75,0.1468,5,0.2857,30,0.7143,0,37800
,,3389.75,0.1468,5,0.2857,30,0.7143,1,46200
