month,year,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
,,1949.16,0.0000,4,0.0625,28,0.4286,1,95000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,115000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,130000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,109000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,131000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,96000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,128000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,113000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,116000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,107000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,113000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,115000
,,1949.16,0.0000,4,0.0625,31,0.8571,1,116000
,,1949.16,0.0000,4,0.0625,30,0.7143,0,91000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,144000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,129000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,118000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,116000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,96000
,,1949.16,0.0000,4,0.0625,31,0.8571,1,132000
,,1949.16,0.0000,4,0.0625,32,1.0000,1,133000
,,1949.16,0.0000,4,0.0625,32,1.0000,1,143000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,97000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,155000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,114000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,120000
,,1949.16,0.0000,4,0.0625,27,0.2857,1,114000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,114000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,146000
,,1949.16,0.0000,4,0.0625,31,0.8571,1,132000
,,1949.16,0.0000,4,0.0625,30,0.7143,1,136000
,,1949.16,0.0000,4,0.0625,29,0.5714,0,96000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,115000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,149000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,127000
,,1949.16,0.0000,4,0.0625,28,0.4286,1,108000
,,1949.16,0.0000,4,0.0625,26,0.1429,1,91000
,,1949.16,0.0000,4,0.0625,27,0.2857,1,96000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,118000
,,1949.16,0.0000,4,0.0625,29,0.5714,1,114000
,,9246.82,0.1530,7,0.2500,30,0.7143,1,98000
,,9246.82,0.1530,7,0.2500,29,0.5714,1,100000
,,9246.82,0.1530,7,0.2500,28,0.4286,1,92000
,,9246.82,0.1530,7,0.2500,32,1.0000,1,96000
,,9246.82,0.1530,7,0.2500,30,0.7143,1,100000
,,9246.82,0.1530,7,0.2500,31,0.8571,1,94000
,,9246.82,0.1530,7,0.2500,29,0.5714,1,112000
,,9246.82,0.1530,7,0.2500,29,0.5714,1,94000
,,12388.55,0.2188,10,0.4375,26,0.1429,1,116000
,,12388.55,0.2188,10,0.4375,28,0.4286,1,96000
,,12388.55,0.2188,10,0.4375,30,0.7143,1,92000
,,12388.55,0.2188,10,0.4375,31,0.8571,1,96000
,,12388.55,0.2188,10,0.4375,30,0.7143,1,92000
,,12388.55,0.2188,10,0.4375,32,1.0000,1,96000
,,12388.55,0.2188,10,0.4375,30,0.7143,1,96000
,,12388.55,0.2188,10,0.4375,31,0.8571,1,92000
,,12388.55,0.2188,10,0.4375,29,0.5714,1,104000
,,12388.55,0.2188,10,0.4375,28,0.4286,1,96000
,,10354.32,0.1762,10,0.4375,29,0.5714,1,96000
,,8114.84,0.1292,7,0.2500,26,0.1429,1,112000
,,8114.84,0.1292,7,0.2500,28,0.4286,1,118000
,,8114.84,0.1292,7,0.2500,30,0.7143,1,120000
,,8114.84,0.1292,7,0.2500,30,0.7143,1,130000
,,8114.84,0.1292,7,0.2500,31,0.8571,1,130000
,,8114.84,0.1292,7,0.2500,30,0.7143,0,102000
,,8114.84,0.1292,7,0.2500,30,0.7143,0,116000
,,8114.84,0.1292,7,0.2500,30,0.7143,1,132000
,,8114.84,0.1292,7,0.2500,29,0.5714,1,122000
