month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,5485,5672.30,2,26,30,28,1
2,2556,6155,5672.30,2,28,32,30,1
3,2556,2456,5672.30,2,24,34,31,0
4,2556,3000,5672.30,2,29,34,32,0
5,2556,2678,5672.30,2,30,34,32,0
6,2556,5029,5672.30,2,28,32,30,1
7,2556,6070,5672.30,2,28,32,30,1
8,2556,7001,5672.30,2,28,31,30,1
9,2556,4841,5672.30,2,24,32,29,1
10,2556,5009,5672.30,2,26,31,29,0
11,2556,2971,5672.30,2,26,31,30,1
12,2556,3015,5672.30,2,21,30,25,1
1,2557,2666,5672.30,2,21,28,25,1
2,2557,2654,5672.30,2,24,29,28,1
3,2557,4766,5672.30,2,27,32,30,1
4,2557,3643,5672.30,2,29,33,31,1
5,2557,2208,5672.30,2,29,33,31,1
6,2557,2408,5672.30,2,28,32,30,0
7,2557,3103,5672.30,2,27,32,30,0
8,2557,3990,5672.30,2,27,31,29,1
9,2557,5230,5672.30,2,28,31,29,1
10,2557,5489,5672.30,2,27,29,29,1
11,2557,5291,5672.30,2,26,31,29,1
12,2557,3319,5672.30,2,24,29,27,1
1,2558,5092,5672.30,2,23,29,26,1
2,2558,6065,5672.30,2,26,31,28,1
3,2558,3518,5672.30,2,27,31,30,1
4,2558,3328,5672.30,2,27,33,30,1
5,2558,3220,5672.30,2,29,32,31,1
6,2558,2416,5672.30,2,29,33,30,0
7,2558,3180,5672.30,2,28,32,30,0
8,2558,6315,5672.30,2,27,32,30,1
9,2558,4986,5672.30,2,26,31,29,1
10,2558,5559,5672.30,2,27,30,29,1
11,2558,8146,5672.30,2,28,31,29,1
12,2558,3866,5672.30,2,24,31,28,1
1,2559,2261,5672.30,2,18,31,27,1
2,2559,6068,5672.30,2,20,30,28,1
3,2559,3788,5672.30,2,27,33,31,1
4,2559,2985,5672.30,2,29,34,32,1
5,2559,3648,5672.30,2,29,34,32,1
6,2559,2379,5672.30,2,27,32,29,0
7,2559,3564,5672.30,2,28,31,29,0
8,2559,5108,5672.30,2,29,31,30,1
9,2559,4820,5672.30,2,27,31,29,1
10,2559,7225,5672.30,2,27,30,29,1
11,2559,7501,5672.30,2,27,31,29,1
12,2559,2805,5672.30,2,24,30,27,1
1,2560,4601,5672.30,2,26,29,27,1
2,2560,6052,5672.30,2,24,31,28,1
3,2560,3938,5672.30,2,27,32,30,1
4,2560,3138,5672.30,2,28,33,31,1
5,2560,4236,5672.30,2,27,32,30,1
6,2560,3857,5672.30,2,28,31,29,0
7,2560,4405,5672.30,2,27,31,29,0
8,2560,4961,5672.30,2,27,31,29,1
9,2560,4610,5672.30,2,28,31,29,1
10,2560,3986,5672.30,2,26,31,28,1
11,2560,6555,5672.30,2,25,30,28,1
12,2560,3421,5672.30,2,20,29,26,1
1,2561,2631,5672.30,2,22,30,27,1
2,2561,5268,5672.30,2,23,30,27,1
3,2561,3403,5672.30,2,24,31,29,1
4,2561,3302,5672.30,2,24,32,29,1
9,2561,3025,5672.30,2,27,31,29,1
2,2556,15000,2479.70,5,28,32,30,1
3,2556,13000,2479.70,5,24,34,31,0
4,2556,14000,2479.70,5,29,34,32,0
5,2556,14000,2479.70,5,30,34,32,0
6,2556,13000,2479.70,5,28,32,30,1
7,2556,12000,2479.70,5,28,32,30,1
8,2556,12000,2479.70,5,28,31,30,1
9,2556,12000,2479.70,5,24,32,29,1
10,2556,11000,2479.70,5,26,31,29,0
11,2556,13000,2479.70,5,26,31,30,1
12,2556,8000,2479.70,5,21,30,25,1
1,2557,8000,2479.70,5,21,28,25,1
2,2557,9000,2479.70,5,24,29,28,1
3,2557,9000,2479.70,5,27,32,30,1
4,2557,10000,2479.70,5,29,33,31,1
5,2557,12000,2479.70,5,29,33,31,1
6,2557,13000,2479.70,5,28,32,30,0
7,2557,12000,2479.70,5,27,32,30,0
8,2557,11000,2479.70,5,27,31,29,1
9,2557,15000,2479.70,5,28,31,29,1
10,2557,13000,2479.70,5,27,29,29,1
11,2557,13000,2479.70,5,26,31,29,1
12,2557,13000,2479.70,5,24,29,27,1
1,2558,9000,2479.70,5,23,29,26,1
2,2558,11000,2479.70,5,26,31,28,1
3,2558,14000,2479.70,5,27,31,30,1
4,2558,11000,2479.70,5,27,33,30,1
5,2558,14000,2479.70,5,29,32,31,1
6,2558,15000,2479.70,5,29,33,30,0
7,2558,13000,2479.70,5,28,32,30,0
8,2558,14000,2479.70,5,27,32,30,1
10,2558,13000,2479.70,5,27,30,29,1
11,2558,14000,2479.70,5,28,31,29,1
12,2558,13000,2479.70,5,24,31,28,1
1,2559,13000,2479.70,5,18,31,27,1
2,2559,13000,2479.70,5,20,30,28,1
3,2559,13000,2479.70,5,27,33,31,1
4,2559,15000,2479.70,5,29,34,32,1
5,2559,16000,2479.70,5,29,34,32,1
6,2559,14000,2479.70,5,27,32,29,0
7,2559,13000,2479.70,5,28,31,29,0
8,2559,15000,2479.70,5,29,31,30,1
9,2559,13000,2479.70,5,27,31,29,1
10,2559,14000,2479.70,5,27,30,29,1
11,2559,14000,2479.70,5,27,31,29,1
12,2559,10000,2479.70,5,24,30,27,1
1,2560,7000,2479.70,5,26,29,27,1
2,2560,7000,2479.70,5,24,31,28,1
3,2560,12000,2479.70,5,27,32,30,1
4,2560,11000,2479.70,5,28,33,31,1
5,2560,13000,2479.70,5,27,32,30,1
6,2560,7000,2479.70,5,28,31,29,0
7,2560,4000,2479.70,5,27,31,29,0
8,2560,10000,2479.70,5,27,31,29,1
9,2560,12000,2479.70,5,28,31,29,1
10,2560,11000,2479.70,5,26,31,28,1
11,2560,11000,2479.70,5,25,30,28,1
12,2560,10000,2479.70,5,20,29,26,1
1,2561,8000,2479.70,5,22,30,27,1
2,2561,6000,2479.70,5,23,30,27,1
3,2561,6000,2479.70,5,24,31,29,1
4,2561,6000,2479.70,5,24,32,29,1
1,2556,6640,642.89,2,26,30,28,1
2,2556,7120,642.89,2,28,32,30,1
3,2556,8240,642.89,2,24,34,31,0
4,2556,5760,642.89,2,29,34,32,0
5,2556,4960,642.89,2,30,34,32,0
6,2556,6080,642.89,2,28,32,30,1
