month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
1,2556,5485,0.0228,5672.30,0.2423,2,0.0135,28,0.4286,1
2,2556,6155,0.0256,5672.30,0.2423,2,0.0135,30,0.7143,1
3,2556,2456,0.0102,5672.30,0.2423,2,0.0135,31,0.8571,0
4,2556,3000,0.0125,5672.30,0.2423,2,0.0135,32,1.0000,0
5,2556,2678,0.0112,5672.30,0.2423,2,0.0135,32,1.0000,0
6,2556,5029,0.0209,5672.30,0.2423,2,0.0135,30,0.7143,1
7,2556,6070,0.0253,5672.30,0.2423,2,0.0135,30,0.7143,1
8,2556,7001,0.0292,5672.30,0.2423,2,0.0135,30,0.7143,1
9,2556,4841,0.0202,5672.30,0.2423,2,0.0135,29,0.5714,1
10,2556,5009,0.0209,5672.30,0.2423,2,0.0135,29,0.5714,0
11,2556,2971,0.0124,5672.30,0.2423,2,0.0135,30,0.7143,1
12,2556,3015,0.0126,5672.30,0.2423,2,0.0135,25,0.0000,1
1,2557,2666,0.0111,5672.30,0.2423,2,0.0135,25,0.0000,1
2,2557,2654,0.0111,5672.30,0.2423,2,0.0135,28,0.4286,1
3,2557,4766,0.0199,5672.30,0.2423,2,0.0135,30,0.7143,1
4,2557,3643,0.0152,5672.30,0.2423,2,0.0135,31,0.8571,1
5,2557,2208,0.0092,5672.30,0.2423,2,0.0135,31,0.8571,1
6,2557,2408,0.0100,5672.30,0.2423,2,0.0135,30,0.7143,0
7,2557,3103,0.0129,5672.30,0.2423,2,0.0135,30,0.7143,0
8,2557,3990,0.0166,5672.30,0.2423,2,0.0135,29,0.5714,1
9,2557,5230,0.0218,5672.30,0.2423,2,0.0135,29,0.5714,1
10,2557,5489,0.0229,5672.30,0.2423,2,0.0135,29,0.5714,1
11,2557,5291,0.0220,5672.30,0.2423,2,0.0135,29,0.5714,1
12,2557,3319,0.0138,5672.30,0.2423,2,0.0135,27,0.2857,1
1,2558,5092,0.0212,5672.30,0.2423,2,0.0135,26,0.1429,1
2,2558,6065,0.0253,5672.30,0.2423,2,0.0135,28,0.4286,1
3,2558,3518,0.0147,5672.30,0.2423,2,0.0135,30,0.7143,1
4,2558,3328,0.0139,5672.30,0.2423,2,0.0135,30,0.7143,1
5,2558,3220,0.0134,5672.30,0.2423,2,0.0135,31,0.8571,1
6,2558,2416,0.0101,5672.30,0.2423,2,0.0135,30,0.7143,0
7,2558,3180,0.0132,5672.30,0.2423,2,0.0135,30,0.7143,0
8,2558,6315,0.0263,5672.30,0.2423,2,0.0135,30,0.7143,1
9,2558,4986,0.0208,5672.30,0.2423,2,0.0135,29,0.5714,1
