area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
5672.30,1.0000,2,0.1429,31,0.8571,0,2456
5672.30,1.0000,2,0.1429,32,1.0000,0,3000
5672.30,1.0000,2,0.1429,32,1.0000,0,2678
5672.30,1.0000,2,0.1429,29,0.5714,1,4841
5672.30,1.0000,2,0.1429,30,0.7143,1,2971
5672.30,1.0000,2,0.1429,25,0.0000,1,3015
5672.30,1.0000,2,0.1429,25,0.0000,1,2666
5672.30,1.0000,2,0.1429,28,0.4286,1,2654
5672.30,1.0000,2,0.1429,30,0.7143,1,4766
5672.30,1.0000,2,0.1429,31,0.8571,1,3643
5672.30,1.0000,2,0.1429,31,0.8571,1,2208
5672.30,1.0000,2,0.1429,30,0.7143,0,2408
5672.30,1.0000,2,0.1429,30,0.7143,0,3103
5672.30,1.0000,2,0.1429,29,0.5714,1,3990
5672.30,1.0000,2,0.1429,27,0.2857,1,3319
5672.30,1.0000,2,0.1429,30,0.7143,1,3518
5672.30,1.0000,2,0.1429,30,0.7143,1,3328
5672.30,1.0000,2,0.1429,31,0.8571,1,3220
5672.30,1.0000,2,0.1429,30,0.7143,0,2416
5672.30,1.0000,2,0.1429,30,0.7143,0,3180
5672.30,1.0000,2,0.1429,29,0.5714,1,4986
5672.30,1.0000,2,0.1429,28,0.4286,1,3866
5672.30,1.0000,2,0.1429,27,0.2857,1,2261
5672.30,1.0000,2,0.1429,31,0.8571,1,3788
5672.30,1.0000,2,0.1429,32,1.0000,1,2985
5672.30,1.0000,2,0.1429,32,1.0000,1,3648
5672.30,1.0000,2,0.1429,29,0.5714,0,2379
5672.30,1.0000,2,0.1429,29,0.5714,0,3564
5672.30,1.0000,2,0.1429,29,0.5714,1,4820
5672.30,1.0000,2,0.1429,27,0.2857,1,2805
5672.30,1.0000,2,0.1429,27,0.2857,1,4601
5672.30,1.0000,2,0.1429,30,0.7143,1,3938
5672.30,1.0000,2,0.1429,31,0.8571,1,3138
5672.30,1.0000,2,0.1429,30,0.7143,1,4236
5672.30,1.0000,2,0.1429,29,0.5714,0,3857
5672.30,1.0000,2,0.1429,29,0.5714,0,4405
5672.30,1.0000,2,0.1429,29,0.5714,1,4961
5672.30,1.0000,2,0.1429,29,0.5714,1,4610
5672.30,1.0000,2,0.1429,28,0.4286,1,3986
5672.30,1.0000,2,0.1429,26,0.1429,1,3421
5672.30,1.0000,2,0.1429,27,0.2857,1,2631
5672.30,1.0000,2,0.1429,29,0.5714,1,3403
5672.30,1.0000,2,0.1429,29,0.5714,1,3302
5672.30,1.0000,2,0.1429,29,0.5714,1,3025
2479.70,0.4318,5,0.5714,29,0.5714,0,4000
642.89,0.1049,2,0.1429,32,1.0000,0,4960
642.89,0.1049,2,0.1429,29,0.5714,1,4835
642.89,0.1049,2,0.1429,25,0.0000,1,3824
642.89,0.1049,2,0.1429,25,0.0000,1,4334
642.89,0.1049,2,0.1429,28,0.4286,1,4581
642.89,0.1049,2,0.1429,29,0.5714,1,4783
642.89,0.1049,2,0.1429,29,0.5714,1,4836
642.89,0.1049,2,0.1429,26,0.1429,1,3408
642.89,0.1049,2,0.1429,28,0.4286,1,3866
642.89,0.1049,2,0.1429,30,0.7143,1,4146
642.89,0.1049,2,0.1429,30,0.7143,1,3922
642.89,0.1049,2,0.1429,29,0.5714,1,4525
642.89,0.1049,2,0.1429,29,0.5714,1,3426
642.89,0.1049,2,0.1429,29,0.5714,1,3846
642.89,0.1049,2,0.1429,28,0.4286,1,1988
642.89,0.1049,2,0.1429,27,0.2857,1,2219
642.89,0.1049,2,0.1429,28,0.4286,1,2923
642.89,0.1049,2,0.1429,31,0.8571,1,3394
642.89,0.1049,2,0.1429,32,1.0000,1,3321
642.89,0.1049,2,0.1429,32,1.0000,1,3527
642.89,0.1049,2,0.1429,29,0.5714,0,3587
642.89,0.1049,2,0.1429,29,0.5714,0,2946
642.89,0.1049,2,0.1429,30,0.7143,1,4014
642.89,0.1049,2,0.1429,29,0.5714,1,3280
642.89,0.1049,2,0.1429,29,0.5714,1,3351
642.89,0.1049,2,0.1429,29,0.5714,1,2839
642.89,0.1049,2,0.1429,27,0.2857,1,2226
642.89,0.1049,2,0.1429,27,0.2857,1,3669
642.89,0.1049,2,0.1429,28,0.4286,1,3458
