area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
2856.25,0.0922,8,0.3333,30,0.7143,1,21000
4334.93,0.1580,5,0.1667,26,0.1429,1,25200
4334.93,0.1580,5,0.1667,28,0.4286,1,24600
4334.93,0.1580,5,0.1667,30,0.7143,1,28800
4334.93,0.1580,5,0.1667,30,0.7143,1,33000
4334.93,0.1580,5,0.1667,30,0.7143,0,21000
4334.93,0.1580,5,0.1667,30,0.7143,1,31800
4334.93,0.1580,5,0.1667,29,0.5714,1,30000
4334.93,0.1580,5,0.1667,29,0.5714,1,24600
4334.93,0.1580,5,0.1667,29,0.5714,1,21600
4334.93,0.1580,5,0.1667,28,0.4286,1,25800
4334.93,0.1580,5,0.1667,31,0.8571,1,25800
4334.93,0.1580,5,0.1667,32,1.0000,1,37200
4334.93,0.1580,5,0.1667,29,0.5714,0,24000
4334.93,0.1580,5,0.1667,30,0.7143,1,35400
4334.93,0.1580,5,0.1667,29,0.5714,1,21600
4334.93,0.1580,5,0.1667,29,0.5714,1,21000
4334.93,0.1580,5,0.1667,27,0.2857,1,21600
4334.93,0.1580,5,0.1667,28,0.4286,1,25200
4334.93,0.1580,5,0.1667,30,0.7143,1,30000
4334.93,0.1580,5,0.1667,31,0.8571,1,31200
4334.93,0.1580,5,0.1667,29,0.5714,0,24000
4334.93,0.1580,5,0.1667,29,0.5714,0,21000
4334.93,0.1580,5,0.1667,29,0.5714,1,35400
4334.93,0.1580,5,0.1667,29,0.5714,1,27000
4334.93,0.1580,5,0.1667,28,0.4286,1,28800
1457.42,0.0299,4,0.1111,29,0.5714,1,20227
2407.64,0.0722,3,0.0556,30,0.7143,1,26000
2407.64,0.0722,3,0.0556,30,0.7143,1,23000
2407.64,0.0722,3,0.0556,30,0.7143,1,21000
2407.64,0.0722,3,0.0556,30,0.7143,0,39000
2407.64,0.0722,3,0.0556,29,0.5714,1,127853
2407.64,0.0722,3,0.0556,32,1.0000,1,21000
2407.64,0.0722,3,0.0556,28,0.4286,1,23000
2407.64,0.0722,3,0.0556,31,0.8571,1,31000
2407.64,0.0722,3,0.0556,29,0.5714,1,22000
786.54,0.0000,2,0.0000,29,0.5714,1,22000
786.54,0.0000,2,0.0000,28,0.4286,1,22000
786.54,0.0000,2,0.0000,28,0.4286,1,21000
786.54,0.0000,2,0.0000,27,0.2857,1,24000
786.54,0.0000,2,0.0000,27,0.2857,1,29000
786.54,0.0000,2,0.0000,29,0.5714,1,35000
786.54,0.0000,2,0.0000,29,0.5714,1,31000
786.54,0.0000,2,0.0000,29,0.5714,1,41000
8983.67,0.3650,9,0.3889,29,0.5714,1,62000
8983.67,0.3650,9,0.3889,29,0.5714,1,53000
8983.67,0.3650,9,0.3889,29,0.5714,1,61000
