area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,lecture,office,multipurpose,laboratory,domitory,parking,usage
1949.16,0.0000,4,0.1111,30,0.7143,1,1,0,0,0,0,0,130000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,131000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,128000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,144000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,129000
1949.16,0.0000,4,0.1111,31,0.8571,1,1,0,0,0,0,0,132000
1949.16,0.0000,4,0.1111,32,1.0000,1,1,0,0,0,0,0,133000
1949.16,0.0000,4,0.1111,32,1.0000,1,1,0,0,0,0,0,143000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,155000
1949.16,0.0000,4,0.1111,30,0.7143,1,1,0,0,0,0,0,146000
1949.16,0.0000,4,0.1111,31,0.8571,1,1,0,0,0,0,0,132000
1949.16,0.0000,4,0.1111,30,0.7143,1,1,0,0,0,0,0,136000
1949.16,0.0000,4,0.1111,29,0.5714,1,1,0,0,0,0,0,149000
1949.16,0.0000,4,0.1111,28,0.4286,1,1,0,0,0,0,0,127000
8114.84,0.1381,7,0.2778,30,0.7143,1,1,0,0,0,0,0,130000
8114.84,0.1381,7,0.2778,31,0.8571,1,1,0,0,0,0,0,130000
8114.84,0.1381,7,0.2778,30,0.7143,1,1,0,0,0,0,0,132000
8114.84,0.1381,7,0.2778,29,0.5714,1,1,0,0,0,0,0,122000
8114.84,0.1381,7,0.2778,29,0.5714,1,1,0,0,0,0,0,122000
8114.84,0.1381,7,0.2778,28,0.4286,1,1,0,0,0,0,0,128000
8114.84,0.1381,7,0.2778,31,0.8571,1,1,0,0,0,0,0,128000
8114.84,0.1381,7,0.2778,32,1.0000,1,1,0,0,0,0,0,132000
8114.84,0.1381,7,0.2778,30,0.7143,1,1,0,0,0,0,0,132000
8114.84,0.1381,7,0.2778,28,0.4286,1,1,0,0,0,0,0,126000
8114.84,0.1381,7,0.2778,31,0.8571,1,1,0,0,0,0,0,130000
8114.84,0.1381,7,0.2778,29,0.5714,1,1,0,0,0,0,0,152000
8114.84,0.1381,7,0.2778,29,0.5714,1,1,0,0,0,0,0,128000
8114.84,0.1381,7,0.2778,28,0.4286,1,1,0,0,0,0,0,128000
20000.00,0.4042,12,0.5556,32,1.0000,1,1,0,0,0,0,0,121000
20000.00,0.4042,12,0.5556,32,1.0000,1,1,0,0,0,0,0,128000
20000.00,0.4042,12,0.5556,29,0.5714,1,1,0,0,0,0,0,133000
20000.00,0.4042,12,0.5556,30,0.7143,1,1,0,0,0,0,0,126000
20000.00,0.4042,12,0.5556,31,0.8571,1,1,0,0,0,0,0,124000
20000.00,0.4042,12,0.5556,30,0.7143,1,1,0,0,0,0,0,131000
20000.00,0.4042,12,0.5556,29,0.5714,1,1,0,0,0,0,0,135000
20000.00,0.4042,12,0.5556,29,0.5714,1,1,0,0,0,0,0,125000
20000.00,0.4042,12,0.5556,29,0.5714,1,1,0,0,0,0,0,126000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,161000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,157000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,165000
11673.93,0.2178,10,0.4444,31,0.8571,1,1,0,0,0,0,0,139000
11673.93,0.2178,10,0.4444,32,1.0000,1,1,0,0,0,0,0,176000
11673.93,0.2178,10,0.4444,29,0.5714,0,1,0,0,0,0,0,163000
11673.93,0.2178,10,0.4444,29,0.5714,0,1,0,0,0,0,0,156000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,159000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,169000
11673.93,0.2178,10,0.4444,27,0.2857,1,1,0,0,0,0,0,146000
11673.93,0.2178,10,0.4444,27,0.2857,1,1,0,0,0,0,0,142000
11673.93,0.2178,10,0.4444,28,0.4286,1,1,0,0,0,0,0,139000
11673.93,0.2178,10,0.4444,30,0.7143,1,1,0,0,0,0,0,155000
11673.93,0.2178,10,0.4444,31,0.8571,1,1,0,0,0,0,0,162000
11673.93,0.2178,10,0.4444,30,0.7143,1,1,0,0,0,0,0,182000
11673.93,0.2178,10,0.4444,29,0.5714,0,1,0,0,0,0,0,170000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,178000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,182000
11673.93,0.2178,10,0.4444,26,0.1429,1,1,0,0,0,0,0,178587
11673.93,0.2178,10,0.4444,27,0.2857,1,1,0,0,0,0,0,178587
11673.93,0.2178,10,0.4444,27,0.2857,1,1,0,0,0,0,0,161305
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,178587
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,167000
11673.93,0.2178,10,0.4444,29,0.5714,1,1,0,0,0,0,0,173522
11673.93,0.2178,10,0.4444,30,0.7143,0,1,0,0,0,0,0,177000
