area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,lecture,office,multipurpose,laboratory,domitory,parking,usage
11673.93,0.0000,10,0.2857,27,0.2857,1,1,0,0,0,0,0,301000
11673.93,0.0000,10,0.2857,32,1.0000,1,1,0,0,0,0,0,334000
11673.93,0.0000,10,0.2857,29,0.5714,1,1,0,0,0,0,0,338000
11673.93,0.0000,10,0.2857,28,0.4286,1,1,0,0,0,0,0,351413
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,339200
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,405840
49653.64,1.0000,19,0.9286,31,0.8571,0,1,0,0,0,0,0,439680
49653.64,1.0000,19,0.9286,32,1.0000,0,1,0,0,0,0,0,299040
49653.64,1.0000,19,0.9286,32,1.0000,0,1,0,0,0,0,0,483040
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,376560
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,399120
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,450720
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,367920
49653.64,1.0000,19,0.9286,29,0.5714,0,1,0,0,0,0,0,392720
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,410960
49653.64,1.0000,19,0.9286,25,0.0000,1,1,0,0,0,0,0,253120
49653.64,1.0000,19,0.9286,25,0.0000,1,1,0,0,0,0,0,308640
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,332880
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,375840
49653.64,1.0000,19,0.9286,31,0.8571,1,1,0,0,0,0,0,407840
49653.64,1.0000,19,0.9286,31,0.8571,1,1,0,0,0,0,0,391120
49653.64,1.0000,19,0.9286,30,0.7143,0,1,0,0,0,0,0,310560
49653.64,1.0000,19,0.9286,30,0.7143,0,1,0,0,0,0,0,403840
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,373600
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,389600
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,506400
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,272000
49653.64,1.0000,19,0.9286,27,0.2857,1,1,0,0,0,0,0,325600
49653.64,1.0000,19,0.9286,26,0.1429,1,1,0,0,0,0,0,315200
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,389600
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,407440
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,388400
49653.64,1.0000,19,0.9286,31,0.8571,1,1,0,0,0,0,0,334880
49653.64,1.0000,19,0.9286,30,0.7143,0,1,0,0,0,0,0,384800
49653.64,1.0000,19,0.9286,30,0.7143,0,1,0,0,0,0,0,393200
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,366620
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,331240
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,362120
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,365820
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,264860
49653.64,1.0000,19,0.9286,27,0.2857,1,1,0,0,0,0,0,333240
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,294680
49653.64,1.0000,19,0.9286,31,0.8571,1,1,0,0,0,0,0,372360
49653.64,1.0000,19,0.9286,32,1.0000,1,1,0,0,0,0,0,342960
49653.64,1.0000,19,0.9286,32,1.0000,1,1,0,0,0,0,0,381980
49653.64,1.0000,19,0.9286,29,0.5714,0,1,0,0,0,0,0,305300
49653.64,1.0000,19,0.9286,29,0.5714,0,1,0,0,0,0,0,331660
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,252060
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,474440
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,297060
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,311800
49653.64,1.0000,19,0.9286,27,0.2857,1,1,0,0,0,0,0,279700
49653.64,1.0000,19,0.9286,27,0.2857,1,1,0,0,0,0,0,368480
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,310000
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,476560
49653.64,1.0000,19,0.9286,31,0.8571,1,1,0,0,0,0,0,346400
49653.64,1.0000,19,0.9286,30,0.7143,1,1,0,0,0,0,0,410400
49653.64,1.0000,19,0.9286,29,0.5714,0,1,0,0,0,0,0,319840
49653.64,1.0000,19,0.9286,29,0.5714,0,1,0,0,0,0,0,335920
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,335920
49653.64,1.0000,19,0.9286,29,0.5714,1,1,0,0,0,0,0,333840
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,356080
49653.64,1.0000,19,0.9286,28,0.4286,1,1,0,0,0,0,0,306480
49653.64,1.0000,19,0.9286,26,0.1429,1,1,0,0,0,0,0,275040
49653.64,1.0000,19,0.9286,27,0.2857,1,1,0,0,0,0,0,306560
