area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
1641.00,0.0731,1,0.0000,28,0.4286,1,12541
1641.00,0.0731,1,0.0000,30,0.7143,1,12923
1641.00,0.0731,1,0.0000,31,0.8571,0,13183
1641.00,0.0731,1,0.0000,32,1.0000,0,11517
1641.00,0.0731,1,0.0000,32,1.0000,0,13752
1641.00,0.0731,1,0.0000,30,0.7143,1,12583
1641.00,0.0731,1,0.0000,30,0.7143,1,12659
1641.00,0.0731,1,0.0000,30,0.7143,1,13910
1641.00,0.0731,1,0.0000,29,0.5714,1,12340
1641.00,0.0731,1,0.0000,29,0.5714,0,12764
1641.00,0.0731,1,0.0000,30,0.7143,1,13013
1641.00,0.0731,1,0.0000,25,0.0000,1,10774
1641.00,0.0731,1,0.0000,25,0.0000,1,11038
1641.00,0.0731,1,0.0000,28,0.4286,1,10018
1641.00,0.0731,1,0.0000,30,0.7143,1,13685
1641.00,0.0731,1,0.0000,31,0.8571,1,11254
1641.00,0.0731,1,0.0000,31,0.8571,1,11369
1641.00,0.0731,1,0.0000,30,0.7143,0,12010
1641.00,0.0731,1,0.0000,30,0.7143,0,12634
1641.00,0.0731,1,0.0000,29,0.5714,1,12419
1641.00,0.0731,1,0.0000,29,0.5714,1,12534
1641.00,0.0731,1,0.0000,29,0.5714,1,11539
1641.00,0.0731,1,0.0000,29,0.5714,1,11902
1641.00,0.0731,1,0.0000,27,0.2857,1,11103
1641.00,0.0731,1,0.0000,26,0.1429,1,11221
1641.00,0.0731,1,0.0000,28,0.4286,1,12438
1641.00,0.0731,1,0.0000,30,0.7143,1,12242
1641.00,0.0731,1,0.0000,30,0.7143,1,11385
1641.00,0.0731,1,0.0000,31,0.8571,1,11529
1641.00,0.0731,1,0.0000,30,0.7143,0,10707
1641.00,0.0731,1,0.0000,30,0.7143,0,11945
1641.00,0.0731,1,0.0000,30,0.7143,1,11414
1641.00,0.0731,1,0.0000,29,0.5714,1,11027
1641.00,0.0731,1,0.0000,29,0.5714,1,11543
1641.00,0.0731,1,0.0000,29,0.5714,1,11120
1641.00,0.0731,1,0.0000,28,0.4286,1,11208
1641.00,0.0731,1,0.0000,27,0.2857,1,10820
1641.00,0.0731,1,0.0000,28,0.4286,1,11697
1641.00,0.0731,1,0.0000,31,0.8571,1,12243
1641.00,0.0731,1,0.0000,32,1.0000,1,11904
1641.00,0.0731,1,0.0000,32,1.0000,1,11144
1641.00,0.0731,1,0.0000,29,0.5714,0,11554
1641.00,0.0731,1,0.0000,29,0.5714,0,10896
1641.00,0.0731,1,0.0000,30,0.7143,1,11270
1641.00,0.0731,1,0.0000,29,0.5714,1,11049
1641.00,0.0731,1,0.0000,29,0.5714,1,12448
1641.00,0.0731,1,0.0000,29,0.5714,1,11748
1641.00,0.0731,1,0.0000,27,0.2857,1,11260
1641.00,0.0731,1,0.0000,27,0.2857,1,11107
1641.00,0.0731,1,0.0000,28,0.4286,1,10803
1641.00,0.0731,1,0.0000,30,0.7143,1,12768
1641.00,0.0731,1,0.0000,31,0.8571,1,10889
1641.00,0.0731,1,0.0000,30,0.7143,1,11427
1641.00,0.0731,1,0.0000,29,0.5714,0,11109
1641.00,0.0731,1,0.0000,29,0.5714,0,11163
1641.00,0.0731,1,0.0000,29,0.5714,1,11957
1641.00,0.0731,1,0.0000,29,0.5714,1,11125
1641.00,0.0731,1,0.0000,28,0.4286,1,10251
1641.00,0.0731,1,0.0000,28,0.4286,1,11072
1641.00,0.0731,1,0.0000,26,0.1429,1,10178
1641.00,0.0731,1,0.0000,27,0.2857,1,9975
1641.00,0.0731,1,0.0000,27,0.2857,1,9817
1641.00,0.0731,1,0.0000,29,0.5714,1,11304
1641.00,0.0731,1,0.0000,29,0.5714,1,9964
2714.21,0.2352,3,0.2857,29,0.5714,1,20000
2714.21,0.2352,3,0.2857,29,0.5714,1,21000
2714.21,0.2352,3,0.2857,29,0.5714,1,20000
2714.21,0.2352,3,0.2857,28,0.4286,1,19000
2714.21,0.2352,3,0.2857,27,0.2857,1,18000
2714.21,0.2352,3,0.2857,28,0.4286,1,16000
2714.21,0.2352,3,0.2857,31,0.8571,1,20000
2714.21,0.2352,3,0.2857,32,1.0000,1,20000
2714.21,0.2352,3,0.2857,32,1.0000,1,20000
2714.21,0.2352,3,0.2857,29,0.5714,0,22000
2714.21,0.2352,3,0.2857,29,0.5714,0,18000
2714.21,0.2352,3,0.2857,30,0.7143,1,19000
2714.21,0.2352,3,0.2857,29,0.5714,1,22000
2714.21,0.2352,3,0.2857,29,0.5714,1,18000
2714.21,0.2352,3,0.2857,29,0.5714,1,20000
2714.21,0.2352,3,0.2857,27,0.2857,1,16000
2714.21,0.2352,3,0.2857,27,0.2857,1,16000
2714.21,0.2352,3,0.2857,28,0.4286,1,16000
2714.21,0.2352,3,0.2857,30,0.7143,1,18000
2714.21,0.2352,3,0.2857,31,0.8571,1,17000
2714.21,0.2352,3,0.2857,30,0.7143,1,17000
2714.21,0.2352,3,0.2857,29,0.5714,1,18000
2714.21,0.2352,3,0.2857,29,0.5714,1,21000
2714.21,0.2352,3,0.2857,28,0.4286,1,17000
2714.21,0.2352,3,0.2857,28,0.4286,1,18000
2714.21,0.2352,3,0.2857,26,0.1429,1,18000
2714.21,0.2352,3,0.2857,27,0.2857,1,13000
2714.21,0.2352,3,0.2857,27,0.2857,1,17000
2714.21,0.2352,3,0.2857,29,0.5714,1,20000
2714.21,0.2352,3,0.2857,29,0.5714,1,18000
2714.21,0.2352,3,0.2857,29,0.5714,1,18000
2714.21,0.2352,3,0.2857,30,0.7143,0,19000
2714.21,0.2352,3,0.2857,29,0.5714,0,18000
2714.21,0.2352,3,0.2857,29,0.5714,1,17000
1567.36,0.0620,2,0.1429,28,0.4286,1,31280
1567.36,0.0620,2,0.1429,30,0.7143,1,36320
1567.36,0.0620,2,0.1429,31,0.8571,0,26080
1567.36,0.0620,2,0.1429,32,1.0000,0,32720
1567.36,0.0620,2,0.1429,32,1.0000,0,34560
1567.36,0.0620,2,0.1429,30,0.7143,1,36320
1567.36,0.0620,2,0.1429,30,0.7143,1,36320
1567.36,0.0620,2,0.1429,30,0.7143,1,5680
1567.36,0.0620,2,0.1429,29,0.5714,1,22000
1567.36,0.0620,2,0.1429,29,0.5714,0,24160
1567.36,0.0620,2,0.1429,30,0.7143,1,11360
1567.36,0.0620,2,0.1429,25,0.0000,1,15040
1567.36,0.0620,2,0.1429,25,0.0000,1,19760
1567.36,0.0620,2,0.1429,28,0.4286,1,24960
1567.36,0.0620,2,0.1429,30,0.7143,1,30000
1567.36,0.0620,2,0.1429,31,0.8571,1,31760
1567.36,0.0620,2,0.1429,31,0.8571,1,23760
1567.36,0.0620,2,0.1429,30,0.7143,0,28720
1567.36,0.0620,2,0.1429,30,0.7143,0,36480
1567.36,0.0620,2,0.1429,29,0.5714,1,31120
1567.36,0.0620,2,0.1429,29,0.5714,1,32676
1567.36,0.0620,2,0.1429,29,0.5714,1,24124
1567.36,0.0620,2,0.1429,29,0.5714,1,30240
1567.36,0.0620,2,0.1429,27,0.2857,1,29280
1567.36,0.0620,2,0.1429,26,0.1429,1,27440
1567.36,0.0620,2,0.1429,28,0.4286,1,26480
1567.36,0.0620,2,0.1429,30,0.7143,1,24880
1567.36,0.0620,2,0.1429,30,0.7143,1,24000
1567.36,0.0620,2,0.1429,31,0.8571,1,29600
1567.36,0.0620,2,0.1429,30,0.7143,0,31600
1567.36,0.0620,2,0.1429,30,0.7143,0,27760
1567.36,0.0620,2,0.1429,30,0.7143,1,37200
1567.36,0.0620,2,0.1429,29,0.5714,1,26560
1567.36,0.0620,2,0.1429,29,0.5714,1,32480
1567.36,0.0620,2,0.1429,29,0.5714,1,27200
1567.36,0.0620,2,0.1429,28,0.4286,1,33280
1567.36,0.0620,2,0.1429,27,0.2857,1,21760
1567.36,0.0620,2,0.1429,28,0.4286,1,26560
1567.36,0.0620,2,0.1429,31,0.8571,1,29600
1567.36,0.0620,2,0.1429,32,1.0000,1,30480
1567.36,0.0620,2,0.1429,32,1.0000,1,32320
1567.36,0.0620,2,0.1429,29,0.5714,0,29440
1567.36,0.0620,2,0.1429,29,0.5714,0,22880
1567.36,0.0620,2,0.1429,30,0.7143,1,27600
1567.36,0.0620,2,0.1429,29,0.5714,1,29840
1567.36,0.0620,2,0.1429,29,0.5714,1,27680
1567.36,0.0620,2,0.1429,29,0.5714,1,33760
1567.36,0.0620,2,0.1429,27,0.2857,1,27680
1567.36,0.0620,2,0.1429,27,0.2857,1,24616
1567.36,0.0620,2,0.1429,28,0.4286,1,33384
1567.36,0.0620,2,0.1429,30,0.7143,1,32800
1567.36,0.0620,2,0.1429,31,0.8571,1,31920
1567.36,0.0620,2,0.1429,30,0.7143,1,26880
1567.36,0.0620,2,0.1429,29,0.5714,0,27680
1567.36,0.0620,2,0.1429,29,0.5714,0,28080
1567.36,0.0620,2,0.1429,29,0.5714,1,36000
1567.36,0.0620,2,0.1429,29,0.5714,1,33280
1567.36,0.0620,2,0.1429,28,0.4286,1,35840
1567.36,0.0620,2,0.1429,28,0.4286,1,33120
1567.36,0.0620,2,0.1429,26,0.1429,1,32560
1567.36,0.0620,2,0.1429,27,0.2857,1,2160
1567.36,0.0620,2,0.1429,27,0.2857,1,14960
1567.36,0.0620,2,0.1429,29,0.5714,1,18480
1567.36,0.0620,2,0.1429,29,0.5714,1,28640
1567.36,0.0620,2,0.1429,30,0.7143,0,21360
1567.36,0.0620,2,0.1429,29,0.5714,0,24080
1567.36,0.0620,2,0.1429,29,0.5714,1,34000
1567.36,0.0620,2,0.1429,29,0.5714,1,34720
1567.36,0.0620,2,0.1429,29,0.5714,1,24720
1567.36,0.0620,2,0.1429,29,0.5714,1,26800
1567.36,0.0620,2,0.1429,28,0.4286,1,22880
2665.17,0.2278,4,0.4286,27,0.2857,1,13421
4094.27,0.4437,8,1.0000,28,0.4286,1,33400
4094.27,0.4437,8,1.0000,30,0.7143,1,39200
4094.27,0.4437,8,1.0000,31,0.8571,0,19600
4094.27,0.4437,8,1.0000,32,1.0000,0,35800
4094.27,0.4437,8,1.0000,32,1.0000,0,37600
4094.27,0.4437,8,1.0000,30,0.7143,1,39200
4094.27,0.4437,8,1.0000,30,0.7143,1,39200
4094.27,0.4437,8,1.0000,30,0.7143,1,15900
4094.27,0.4437,8,1.0000,29,0.5714,0,21400
4094.27,0.4437,8,1.0000,30,0.7143,1,20000
4094.27,0.4437,8,1.0000,25,0.0000,1,24600
4094.27,0.4437,8,1.0000,25,0.0000,1,9400
4094.27,0.4437,8,1.0000,28,0.4286,1,30800
4094.27,0.4437,8,1.0000,30,0.7143,1,34400
4094.27,0.4437,8,1.0000,31,0.8571,1,38200
4094.27,0.4437,8,1.0000,31,0.8571,1,27400
4094.27,0.4437,8,1.0000,30,0.7143,0,7000
4094.27,0.4437,8,1.0000,30,0.7143,0,34000
4094.27,0.4437,8,1.0000,29,0.5714,1,38040
4094.27,0.4437,8,1.0000,26,0.1429,1,15600
4094.27,0.4437,8,1.0000,28,0.4286,1,13200
4094.27,0.4437,8,1.0000,30,0.7143,1,9200
4094.27,0.4437,8,1.0000,30,0.7143,1,7000
4094.27,0.4437,8,1.0000,31,0.8571,1,12000
4094.27,0.4437,8,1.0000,30,0.7143,0,15200
4094.27,0.4437,8,1.0000,30,0.7143,0,21200
4094.27,0.4437,8,1.0000,30,0.7143,1,33600
4094.27,0.4437,8,1.0000,29,0.5714,1,29800
4094.27,0.4437,8,1.0000,29,0.5714,1,36600
4094.27,0.4437,8,1.0000,29,0.5714,1,30000
4094.27,0.4437,8,1.0000,28,0.4286,1,12977
4094.27,0.4437,8,1.0000,27,0.2857,1,1023
4094.27,0.4437,8,1.0000,28,0.4286,1,1000
4094.27,0.4437,8,1.0000,31,0.8571,1,7800
4094.27,0.4437,8,1.0000,32,1.0000,1,8000
4094.27,0.4437,8,1.0000,32,1.0000,1,8600
4094.27,0.4437,8,1.0000,29,0.5714,0,8200
4094.27,0.4437,8,1.0000,29,0.5714,0,2000
4094.27,0.4437,8,1.0000,30,0.7143,1,5600
4094.27,0.4437,8,1.0000,29,0.5714,1,6200
4094.27,0.4437,8,1.0000,29,0.5714,1,7280
4094.27,0.4437,8,1.0000,29,0.5714,1,6720
4094.27,0.4437,8,1.0000,27,0.2857,1,5600
4094.27,0.4437,8,1.0000,27,0.2857,1,5244
4094.27,0.4437,8,1.0000,28,0.4286,1,6756
4094.27,0.4437,8,1.0000,30,0.7143,1,6600
4094.27,0.4437,8,1.0000,31,0.8571,1,6400
4094.27,0.4437,8,1.0000,30,0.7143,1,6400
4094.27,0.4437,8,1.0000,29,0.5714,0,6400
4094.27,0.4437,8,1.0000,29,0.5714,0,6600
4094.27,0.4437,8,1.0000,29,0.5714,1,7600
4094.27,0.4437,8,1.0000,29,0.5714,1,7000
4094.27,0.4437,8,1.0000,28,0.4286,1,7200
4094.27,0.4437,8,1.0000,28,0.4286,1,6600
4094.27,0.4437,8,1.0000,26,0.1429,1,6600
4094.27,0.4437,8,1.0000,27,0.2857,1,5600
4094.27,0.4437,8,1.0000,27,0.2857,1,4600
4094.27,0.4437,8,1.0000,29,0.5714,1,2800
4094.27,0.4437,8,1.0000,29,0.5714,1,4000
4094.27,0.4437,8,1.0000,29,0.5714,1,3600
4094.27,0.4437,8,1.0000,30,0.7143,0,7400
4094.27,0.4437,8,1.0000,29,0.5714,0,8400
4094.27,0.4437,8,1.0000,29,0.5714,1,3404
4094.27,0.4437,8,1.0000,29,0.5714,1,3900
4094.27,0.4437,8,1.0000,29,0.5714,1,2400
4094.27,0.4437,8,1.0000,29,0.5714,1,2700
4094.27,0.4437,8,1.0000,28,0.4286,1,3800
7776.12,1.0000,8,1.0000,30,0.7143,1,38713
7776.12,1.0000,8,1.0000,25,0.0000,1,40000
7776.12,1.0000,8,1.0000,29,0.5714,1,34138
7776.12,1.0000,8,1.0000,27,0.2857,1,31296
7776.12,1.0000,8,1.0000,26,0.1429,1,35174
7776.12,1.0000,8,1.0000,28,0.4286,1,29968
7776.12,1.0000,8,1.0000,30,0.7143,1,29968
7776.12,1.0000,8,1.0000,30,0.7143,1,29310
7776.12,1.0000,8,1.0000,31,0.8571,1,31863
7776.12,1.0000,8,1.0000,30,0.7143,0,26661
7776.12,1.0000,8,1.0000,30,0.7143,0,28629
7776.12,1.0000,8,1.0000,30,0.7143,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,1,31850
7776.12,1.0000,8,1.0000,29,0.5714,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,1,28068
7776.12,1.0000,8,1.0000,28,0.4286,1,28068
7776.12,1.0000,8,1.0000,27,0.2857,1,28068
7776.12,1.0000,8,1.0000,28,0.4286,1,28068
7776.12,1.0000,8,1.0000,31,0.8571,1,28068
7776.12,1.0000,8,1.0000,32,1.0000,1,28068
7776.12,1.0000,8,1.0000,32,1.0000,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,0,28068
7776.12,1.0000,8,1.0000,29,0.5714,0,28068
7776.12,1.0000,8,1.0000,30,0.7143,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,1,28068
7776.12,1.0000,8,1.0000,29,0.5714,1,28068
7776.12,1.0000,8,1.0000,27,0.2857,1,28068
7776.12,1.0000,8,1.0000,27,0.2857,1,28068
7776.12,1.0000,8,1.0000,28,0.4286,1,28068
7776.12,1.0000,8,1.0000,30,0.7143,1,27711
1157.22,0.0000,2,0.1429,28,0.4286,1,17400
1157.22,0.0000,2,0.1429,30,0.7143,1,20760
1157.22,0.0000,2,0.1429,31,0.8571,0,15720
1157.22,0.0000,2,0.1429,32,1.0000,0,16800
1157.22,0.0000,2,0.1429,32,1.0000,0,22320
1157.22,0.0000,2,0.1429,30,0.7143,1,20760
1157.22,0.0000,2,0.1429,30,0.7143,1,20760
1157.22,0.0000,2,0.1429,30,0.7143,1,540
1157.22,0.0000,2,0.1429,29,0.5714,1,2640
1157.22,0.0000,2,0.1429,29,0.5714,0,3240
1157.22,0.0000,2,0.1429,30,0.7143,1,3360
1157.22,0.0000,2,0.1429,25,0.0000,1,6120
1157.22,0.0000,2,0.1429,25,0.0000,1,7200
1157.22,0.0000,2,0.1429,28,0.4286,1,14400
1157.22,0.0000,2,0.1429,30,0.7143,1,15720
1157.22,0.0000,2,0.1429,31,0.8571,1,22680
1157.22,0.0000,2,0.1429,31,0.8571,1,15240
1157.22,0.0000,2,0.1429,30,0.7143,0,18600
1157.22,0.0000,2,0.1429,30,0.7143,0,21480
1157.22,0.0000,2,0.1429,29,0.5714,1,18480
1157.22,0.0000,2,0.1429,29,0.5714,1,19404
1157.22,0.0000,2,0.1429,29,0.5714,1,14556
1157.22,0.0000,2,0.1429,29,0.5714,1,17520
1157.22,0.0000,2,0.1429,27,0.2857,1,15960
1157.22,0.0000,2,0.1429,26,0.1429,1,27480
1157.22,0.0000,2,0.1429,28,0.4286,1,4320
1157.22,0.0000,2,0.1429,30,0.7143,1,13560
1157.22,0.0000,2,0.1429,30,0.7143,1,15000
1157.22,0.0000,2,0.1429,31,0.8571,1,21840
1157.22,0.0000,2,0.1429,30,0.7143,0,21360
1157.22,0.0000,2,0.1429,30,0.7143,0,21240
1157.22,0.0000,2,0.1429,30,0.7143,1,30600
1157.22,0.0000,2,0.1429,29,0.5714,1,17520
1157.22,0.0000,2,0.1429,29,0.5714,1,21360
1157.22,0.0000,2,0.1429,29,0.5714,1,19920
1157.22,0.0000,2,0.1429,28,0.4286,1,24360
1157.22,0.0000,2,0.1429,27,0.2857,1,17280
1157.22,0.0000,2,0.1429,28,0.4286,1,21120
1157.22,0.0000,2,0.1429,31,0.8571,1,23880
1157.22,0.0000,2,0.1429,32,1.0000,1,24600
1157.22,0.0000,2,0.1429,32,1.0000,1,26040
1157.22,0.0000,2,0.1429,29,0.5714,0,21840
1157.22,0.0000,2,0.1429,29,0.5714,0,23640
1157.22,0.0000,2,0.1429,30,0.7143,1,19560
1157.22,0.0000,2,0.1429,29,0.5714,1,21120
1157.22,0.0000,2,0.1429,29,0.5714,1,25212
1157.22,0.0000,2,0.1429,29,0.5714,1,19188
1157.22,0.0000,2,0.1429,27,0.2857,1,15600
1157.22,0.0000,2,0.1429,27,0.2857,1,25320
1157.22,0.0000,2,0.1429,28,0.4286,1,24600
1157.22,0.0000,2,0.1429,30,0.7143,1,24240
1157.22,0.0000,2,0.1429,31,0.8571,1,23520
1157.22,0.0000,2,0.1429,30,0.7143,1,21360
1157.22,0.0000,2,0.1429,29,0.5714,0,22080
1157.22,0.0000,2,0.1429,29,0.5714,0,22440
1157.22,0.0000,2,0.1429,29,0.5714,1,23880
1157.22,0.0000,2,0.1429,29,0.5714,1,21960
1157.22,0.0000,2,0.1429,28,0.4286,1,23640
1157.22,0.0000,2,0.1429,28,0.4286,1,21720
1157.22,0.0000,2,0.1429,26,0.1429,1,21480
1157.22,0.0000,2,0.1429,27,0.2857,1,6000
1157.22,0.0000,2,0.1429,27,0.2857,1,22440
1157.22,0.0000,2,0.1429,29,0.5714,1,15360
1157.22,0.0000,2,0.1429,29,0.5714,1,22920
1157.22,0.0000,2,0.1429,29,0.5714,1,37680
1157.22,0.0000,2,0.1429,30,0.7143,0,22200
1157.22,0.0000,2,0.1429,29,0.5714,0,25080
1157.22,0.0000,2,0.1429,29,0.5714,1,9360
1157.22,0.0000,2,0.1429,29,0.5714,1,25800
1157.22,0.0000,2,0.1429,29,0.5714,1,23040
1157.22,0.0000,2,0.1429,29,0.5714,1,24960
1157.22,0.0000,2,0.1429,28,0.4286,1,12120
