month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
1,2556,10000,5900.15,5,8,26,30,28,1
2,2556,12000,5900.15,5,8,28,32,30,1
3,2556,13000,5900.15,5,8,24,34,31,0
4,2556,11000,5900.15,5,8,29,34,32,0
5,2556,14000,5900.15,5,8,30,34,32,0
6,2556,12000,5900.15,5,8,28,32,30,1
7,2556,11000,5900.15,5,8,28,32,30,1
8,2556,13000,5900.15,5,8,28,31,30,1
9,2556,11000,5900.15,5,8,24,32,29,1
10,2556,11000,5900.15,5,8,26,31,29,0
11,2556,12000,5900.15,5,8,26,31,30,1
12,2556,9000,5900.15,5,8,21,30,25,1
1,2557,9000,5900.15,5,8,21,28,25,1
2,2557,9000,5900.15,5,8,24,29,28,1
3,2557,15000,5900.15,5,8,27,32,30,1
4,2557,11000,5900.15,5,8,29,33,31,1
5,2557,13000,5900.15,5,8,29,33,31,1
6,2557,13000,5900.15,5,8,28,32,30,0
7,2557,12000,5900.15,5,8,27,32,30,0
8,2557,12000,5900.15,5,8,27,31,29,1
9,2557,14000,5900.15,5,8,28,31,29,1
10,2557,13000,5900.15,5,8,27,29,29,1
11,2557,13000,5900.15,5,8,26,31,29,1
12,2557,12000,5900.15,5,8,24,29,27,1
1,2558,11000,5900.15,5,8,23,29,26,1
2,2558,12000,5900.15,5,8,26,31,28,1
3,2558,15000,5900.15,5,8,27,31,30,1
4,2558,14000,5900.15,5,8,27,33,30,1
5,2558,15000,5900.15,5,8,29,32,31,1
6,2558,14000,5900.15,5,8,29,33,30,0
7,2558,14000,5900.15,5,8,28,32,30,0
8,2558,15000,5900.15,5,8,27,32,30,1
9,2558,15000,5900.15,5,8,26,31,29,1
10,2558,16000,5900.15,5,8,27,30,29,1
11,2558,16000,5900.15,5,8,28,31,29,1
12,2558,15000,5900.15,5,8,24,31,28,1
1,2559,13000,5900.15,5,8,18,31,27,1
2,2559,16000,5900.15,5,8,20,30,28,1
3,2559,18000,5900.15,5,8,27,33,31,1
4,2559,19000,5900.15,5,8,29,34,32,1
5,2559,17000,5900.15,5,8,29,34,32,1
6,2559,17000,5900.15,5,8,27,32,29,0
7,2559,16000,5900.15,5,8,28,31,29,0
8,2559,17000,5900.15,5,8,29,31,30,1
9,2559,18000,5900.15,5,8,27,31,29,1
10,2559,18000,5900.15,5,8,27,30,29,1
11,2559,19000,5900.15,5,8,27,31,29,1
12,2559,18000,5900.15,5,8,24,30,27,1
1,2560,18000,5900.15,5,8,26,29,27,1
2,2560,18000,5900.15,5,8,24,31,28,1
3,2560,22000,5900.15,5,8,27,32,30,1
4,2560,21000,5900.15,5,8,28,33,31,1
5,2560,21000,5900.15,5,8,27,32,30,1
6,2560,21000,5900.15,5,8,28,31,29,0
7,2560,20000,5900.15,5,8,27,31,29,0
8,2560,21000,5900.15,5,8,27,31,29,1
9,2560,21000,5900.15,5,8,28,31,29,1
10,2560,20000,5900.15,5,8,26,31,28,1
11,2560,21000,5900.15,5,8,25,30,28,1
12,2560,17000,5900.15,5,8,20,29,26,1
1,2561,20000,5900.15,5,8,22,30,27,1
2,2561,21000,5900.15,5,8,23,30,27,1
3,2561,22000,5900.15,5,8,24,31,29,1
4,2561,21000,5900.15,5,8,24,32,29,1
1,2556,36000,5090.53,5,15,26,30,28,1
2,2556,35000,5090.53,5,15,28,32,30,1
3,2556,41000,5090.53,5,15,24,34,31,0
4,2556,33000,5090.53,5,15,29,34,32,0
5,2556,40000,5090.53,5,15,30,34,32,0
6,2556,37000,5090.53,5,15,28,32,30,1
7,2556,37000,5090.53,5,15,28,32,30,1
8,2556,41000,5090.53,5,15,28,31,30,1
9,2556,41000,5090.53,5,15,24,32,29,1
10,2556,40000,5090.53,5,15,26,31,29,0
11,2556,44000,5090.53,5,15,26,31,30,1
12,2556,33000,5090.53,5,15,21,30,25,1
1,2557,33000,5090.53,5,15,21,28,25,1
2,2557,37000,5090.53,5,15,24,29,28,1
3,2557,47000,5090.53,5,15,27,32,30,1
4,2557,38000,5090.53,5,15,29,33,31,1
5,2557,41000,5090.53,5,15,29,33,31,1
6,2557,43000,5090.53,5,15,28,32,30,0
7,2557,42000,5090.53,5,15,27,32,30,0
8,2557,44000,5090.53,5,15,27,31,29,1
9,2557,47000,5090.53,5,15,28,31,29,1
10,2557,44000,5090.53,5,15,27,29,29,1
11,2557,44000,5090.53,5,15,26,31,29,1
12,2557,38000,5090.53,5,15,24,29,27,1
1,2558,34000,5090.53,5,15,23,29,26,1
2,2558,38000,5090.53,5,15,26,31,28,1
3,2558,43000,5090.53,5,15,27,31,30,1
4,2558,41000,5090.53,5,15,27,33,30,1
5,2558,44000,5090.53,5,15,29,32,31,1
6,2558,43000,5090.53,5,15,29,33,30,0
7,2558,43000,5090.53,5,15,28,32,30,0
8,2558,43000,5090.53,5,15,27,32,30,1
9,2558,44000,5090.53,5,15,26,31,29,1
10,2558,46000,5090.53,5,15,27,30,29,1
11,2558,45000,5090.53,5,15,28,31,29,1
12,2558,41000,5090.53,5,15,24,31,28,1
1,2559,39000,5090.53,5,15,18,31,27,1
2,2559,39000,5090.53,5,15,20,30,28,1
3,2559,48000,5090.53,5,15,27,33,31,1
4,2559,44000,5090.53,5,15,29,34,32,1
5,2559,44000,5090.53,5,15,29,34,32,1
6,2559,45000,5090.53,5,15,27,32,29,0
7,2559,43000,5090.53,5,15,28,31,29,0
8,2559,44000,5090.53,5,15,29,31,30,1
9,2559,43000,5090.53,5,15,27,31,29,1
10,2559,41000,5090.53,5,15,27,30,29,1
